Time,LorR,Question,Character,Answer_State,Answer_Time
10.36219,left,9999,xx,irrelevant_answer,9999
12.62695,left,5,L,correct,0.7440643
17.59012,left,1,L,correct,1.018585
21.79246,left,3,L,correct,0.6352386
27.54895,right,6,R,correct,1.028896
30.83687,left,2,L,correct,0.776329
36.74249,left,4,L,correct,1.058392
39.99945,left,6,L,correct,0.6887054
43.15851,right,2,R,correct,0.889801
47.06175,right,1,R,correct,0.5412827
50.72264,right,3,R,correct,0.6813812
55.10299,right,4,R,correct,1.317345
59.01239,right,5,R,correct,0.6175842
63.62447,left,1,L,correct,0.5996933
68.79823,left,6,L,correct,0.6968842
72.09627,right,5,R,correct,0.6919403
75.67004,right,4,R,correct,0.539444
80.55836,left,3,L,correct,0.6462555
85.25439,left,2,L,correct,0.6859589
90.48027,right,5,R,correct,0.9358063
94.99507,left,6,L,correct,1.085541
100.4304,right,3,R,correct,1.399048
103.4969,right,1,R,correct,0.6091003
103.828,right,9999,xxx,irrelevant_answer,9999
106.5303,left,2,L,correct,0.7360229
110.5749,right,4,R,corr
