time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
14.60732,1,1.5,-0.869051,-0.6779446,-0.595447,-0.3431014
18.8351,2,1.5,0.2087798,0.3121053,0.2167975,0.3462576
22.99671,3,1.5,-1.622636,-0.7704183,-1.638841,-0.9349657
27.52328,4,1.5,-0.3950415,-0.7673029,-0.4086623,-0.552632
33.18842,5,1.5,-1.614467,-0.8302572,-1.529115,-1.12641
38.51001,6,1.5,-1.873667,-1.102116,-1.562473,-1.151644
42.94978,7,1.5,-1.214083,-0.9461678,-0.9824397,-0.767221
47.20406,8,1.5,-1.358529,-0.6998604,-1.292136,-0.7170646
51.93974,9,1.5,-0.6888788,-1.704597,-0.5744517,-1.132657
56.02862,10,1.5,2.398634,-0.6607956,2.382975,-0.5435227
60.50253,11,1.5,-1.556167,-1.542516,-1.14191,-1.250105
70.57385,12,1.5,-1.673088,-0.5901724,-1.391389,-0.3013251
74.57491,13,1.5,-1.208072,-1.445059,-1.157791,-1.256742
82.7309,14,1.5,0.8365649,0.6369316,0.3205895,0.5396531
86.9239,15,1.5,-0.9830241,-0.5419214,-0.8262709,-0.005511778
91.05099,16,1.5,-2.46771,-1.132954,-2.295797,-0.8409926
99.26355,17,1.5,0.962
