Time,LorR,Question,Character,Answer_State,Answer_Time
10.04123,left,3,L,correct,0.9589806
14.33483,right,5,R,correct,0.9805336
19.31832,right,4,R,correct,0.6994667
25.28734,right,2,R,correct,1.027061
29.83344,left,6,L,correct,0.7669525
33.33554,left,1,L,correct,0.8985519
38.19022,right,3,R,correct,0.8486481
42.23577,right,1,R,correct,1.215981
48.28332,left,2,L,correct,1.544815
52.40119,left,5,L,correct,1.059319
57.76813,right,6,R,correct,0.8512802
62.90199,left,4,L,correct,1.044403
65.89186,left,3,L,correct,0.8741226
71.14866,left,2,L,correct,0.9773712
75.71718,right,4,R,correct,0.8721085
79.36381,right,5,L,character_mistake,0.6750641
83.34797,left,1,L,correct,0.7603378
89.01581,left,6,L,correct,0.8591003
94.84969,left,1,L,correct,0.8478775
100.6624,right,3,R,correct,1.420372
105.5682,left,5,L,correct,0.9930267
110.9066,left,6,L,correct,0.8236847
115.0166,left,2,R,character_mistake,1.127548
118.1695,left,4,L,correct,0.9836731
123.1278,left,3,L,correct,1.833008
127.284,left,2,L,correc
