time,is_recent,pos_x,pos_y,filtered_pos_x,filtered_pos_y
0.01790237,1,1259.718,59.08105,629.8592,29.54053
0.05589676,1,1259.718,59.08105,944.7888,44.31079
0.06414795,1,1259.718,59.08105,1102.254,51.69592
0.08717728,1,1259.718,59.08105,1180.986,55.38848
0.1003914,1,1259.718,59.08105,1220.352,57.23477
0.1177826,1,1259.718,59.08105,1240.035,58.15791
0.1356583,1,1259.718,59.08105,1249.877,58.61948
0.1502953,1,1259.718,59.08105,1254.798,58.85027
0.1642075,1,1075.565,125.702,1165.181,92.27615
0.1679878,1,1075.565,125.702,1120.373,108.9891
0.1736717,1,1075.565,125.702,1097.969,117.3456
0.182106,1,1075.565,125.702,1086.767,121.5238
0.1865501,1,1075.565,125.702,1081.166,123.6129
0.1918335,1,1066.916,133.9039,1074.041,128.7584
0.1990585,1,1066.916,133.9039,1070.479,131.3311
0.2039986,1,1066.916,133.9039,1068.697,132.6175
0.2094803,1,1066.916,133.9039,1067.807,133.2607
0.2171059,1,1066.916,133.9039,1067.361,133.5823
0.2223854,1,1054.66,148.7037,1061.011,141.143
0.2283058,1,1054.66,148.7037,1057.835,144.9233
0.2330513,1,1054.66,148.7037,1056.248,146.8135
0.238224,1,1054.66,148.7037,1055.454,147.7586
0.2425804,1,1054.66,148.7037,1055.057,148.2312
0.2511978,1,1038.234,166.7484,1046.646,157.4898
0.2575874,1,1038.234,166.7484,1042.44,162.1191
0.264286,1,1038.234,166.7484,1040.337,164.4338
0.2687836,1,1038.234,166.7484,1039.286,165.5911
0.2743721,1,1038.234,166.7484,1038.76,166.1698
0.2827301,1,1023.476,184.9243,1031.118,175.547
0.2870674,1,1023.476,184.9243,1027.297,180.2357
0.2970543,1,1023.476,184.9243,1025.387,182.58
0.3011513,1,1023.476,184.9243,1024.431,183.7522
0.3173409,1,1012.189,201.4234,1018.31,192.5878
0.3322067,1,1012.189,201.4234,1015.25,197.0056
0.3451805,1,1005.947,212.7948,1010.598,204.9002
0.349575,1,1005.947,212.7948,1008.273,208.8475
0.354702,1,1005.947,212.7948,1007.11,210.8212
0.3588753,1,1005.947,212.7948,1006.529,211.808
0.3632088,1,1005.947,212.7948,1006.238,212.3014
