Time,LorR,Question,Character,Answer_State,Answer_Time
10.42173,left,3,L,correct,0.8768044
13.57529,left,6,L,correct,0.9506931
19.31787,left,4,L,correct,0.9275284
22.41152,right,2,R,correct,0.6348991
28.01413,right,1,R,correct,0.6440887
28.86352,right,9999,xxx,irrelevant_answer,9999
31.87579,left,5,L,correct,0.8410416
36.13567,right,3,R,correct,1.012043
41.18151,right,4,R,correct,0.6806908
44.72797,left,1,L,correct,0.7545967
48.19402,right,5,R,correct,0.7215958
53.89378,right,6,R,correct,0.9987259
54.28961,right,9999,xxx,irrelevant_answer,9999
56.80724,left,2,L,correct,0.8252487
61.53361,left,2,L,correct,0.6193237
66.72336,left,3,L,correct,0.9578857
70.61536,left,6,L,correct,0.8849716
74.47588,left,5,L,correct,0.6940155
77.5901,left,1,L,correct,0.7457809
83.20478,right,4,R,correct,0.7444611
83.62334,right,9999,xxx,irrelevant_answer,9999
88.86973,right,3,R,correct,0.7514954
92.52275,left,6,L,correct,0.6309204
96.73968,left,5,L,correct,0.6641083
99.60297,right,2,R,correct,0.5787582
103.
