time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
18.47042,1,1.5,0.1601529,-0.6693714,0.2692707,-0.7105415
20.93249,2,1.5,2.102047,0.8006025,2.009808,1.457348
23.98515,3,1.5,0.9104211,-0.0286469,0.9774644,0.6013036
27.42703,4,1.5,-1.040867,-1.051705,-0.9457135,-0.578932
33.13959,5,1.5,-1.438266,-1.141962,-1.319035,-1.050617
37.65682,6,1.5,1.801625,-1.317817,1.420614,-1.345048
41.76267,7,1.5,-0.5779717,-0.6345178,-0.5826176,-0.721875
46.33886,8,1.5,2.460431,-0.7859849,2.233784,-0.5353991
49.87838,9,1.5,2.101099,0.3508307,1.659538,0.3426893
53.54043,10,1.5,-2.345701,-0.7833008,-2.382393,-0.8586251
57.77476,11,1.5,-0.636624,-0.9600695,-0.7978447,-0.6837624
61.80549,12,1.5,0.3990861,-1.570163,0.2335066,-1.372178
66.24174,13,1.5,-0.2833883,-0.9351768,-0.4862619,-0.9624371
70.51977,14,1.5,0.5625733,-0.9473256,0.526658,-0.7533286
74.19966,15,1.5,-1.199709,-0.6360687,-1.314618,-0.2663245
80.1311,16,1.5,-0.03380412,-0.4686906,-0.05855599,-0.1539278
83.12693,17,1.5,1.579
