Time,LorR,Question,Character,Answer_State,Answer_Time
17.93727,left,3,L,correct,0.8796463
21.84999,left,2,L,correct,0.6187515
25.61966,left,4,L,correct,0.5319176
30.82269,right,1,R,correct,0.7783508
35.42809,right,5,R,correct,0.5934868
40.87807,right,6,R,correct,0.642128
44.91486,right,3,R,correct,0.5896378
49.29533,left,5,L,correct,0.819725
52.38745,left,1,L,correct,0.6476212
55.70228,left,4,R,character_mistake,0.6622314
55.84464,right,9999,xxx,irrelevant_answer,9999
59.04104,left,6,L,correct,0.6186523
64.82145,right,2,R,correct,1.32251
69.22126,right,6,R,correct,1.529388
72.29488,left,5,L,correct,0.574173
77.6566,left,4,L,correct,1.031189
82.60383,right,1,R,correct,0.6277161
87.53745,right,3,R,correct,0.6455536
90.69975,right,2,R,correct,0.9239044
96.13747,left,3,L,correct,1.406235
100.2344,right,2,R,correct,0.3227005
104.3364,left,1,L,correct,1.137619
108.4007,left,4,L,correct,0.6454468
112.2785,left,6,L,correct,1.106201
117.2222,left,5,L,correct,0.5642548
121.8925,right,3,R,corre
