time,is_recent,pos_x,pos_y,filtered_pos_x,filtered_pos_y
0.01534081,1,1355.568,147.4374,677.7839,73.71868
0.06811523,1,1345.168,162.2181,1011.476,117.9684
0.07971764,1,1345.168,162.2181,1178.322,140.0932
0.09189415,1,1289.863,212.5204,1234.093,176.3068
0.09947586,1,1289.863,212.5204,1261.978,194.4136
0.1120968,1,1182.074,314.3138,1222.026,254.3637
0.1256485,1,1182.074,314.3138,1202.05,284.3387
0.137289,1,1111.391,379.0331,1156.72,331.6859
0.150856,1,1111.391,379.0331,1134.056,355.3595
0.1608543,1,1111.391,379.0331,1122.724,367.1963
0.1767254,1,1078.708,416.2878,1100.716,391.742
0.1869545,1,1078.708,416.2878,1089.712,404.0149
0.1965981,1,1064.25,437.8728,1076.98,420.9438
0.2082748,1,1064.25,437.8728,1070.615,429.4083
0.2217789,1,1064.25,437.8728,1067.432,433.6406
0.2327843,1,1050.54,449.5099,1058.986,441.5752
0.2424641,1,1050.54,449.5099,1054.763,445.5425
0.2562599,1,1046.303,455.2688,1050.533,450.4056
0.2687454,1,1046.303,455.2688,1048.418,452.8372
0.281271,1,1046.303,455.2688,1047.361,454.053
0.2921104,1,1048.087,458.5765,1047.724,456.3147
0.3030128,1,1048.087,458.5765,1047.905,457.4456
0.3193264,1,1049.39,461.9972,1048.647,459.7214
0.3283043,1,1049.39,461.9972,1049.019,460.8593
0.3403149,1,1049.39,461.9972,1049.204,461.4282
0.3516903,1,1073.907,495.4331,1061.556,478.4307
0.3621655,1,1073.907,495.4331,1067.731,486.9319
0.3757858,1,1073.907,495.4331,1070.819,491.1825
0.3898811,1,1209.038,672.3804,1139.929,581.7815
0.3985748,1,1209.038,672.3804,1174.483,627.0809
0.4119396,1,1380.504,857.3414,1277.494,742.2112
0.4230709,1,1380.504,857.3414,1328.999,799.7763
0.436861,1,1380.504,857.3414,1354.751,828.5588
0.4467754,1,1448.339,949.1957,1401.545,888.8773
0.456316,1,1448.339,949.1957,1424.942,919.0365
0.4777451,1,1465.835,980.8159,1445.389,949.9261
0.4881916,1,1465.835,980.8159,1455.612,965.371
0.4995155,1,1472.835,987.3517,1464.224,976.3613
0.5143776,1,1472.835,987.3517,1468.53,981.8566
0.5257797,1,1472.835,987.3517,1470.682,984.6041
0.5359497,1,1469.322,980.8668,1470.002,982.7355
0.5493279,1,1469.322,980.8668,1469.662,981.8011
0.5597057,1,1464.775,974.8021,1467.219,978.3016
0.5728664,1,1464.775,974.8021,1465.997,976.5519
0.585331,1,1464.775,974.8021,1465.386,975.677
0.5963326,1,1462.339,969.902,1463.862,972.7895
0.6096096,1,1462.339,969.902,1463.1,971.3457
0.6207218,1,1460.224,968.72,1461.662,970.0328
0.634119,1,1460.224,968.72,1460.943,969.3764
0.6434708,1,1460.224,968.72,1460.583,969.0482
0.6573143,1,1461.97,966.5715,1461.277,967.8099
0.6681519,1,1461.97,966.5715,1461.623,967.1907
0.6795578,1,1461.97,966.5715,1461.797,966.8811
0.695097,1,1462.775,962.7498,1462.286,964.8154
0.7060966,1,1462.775,962.7498,1462.531,963.7826
0.714632,1,1457.697,964.7416,1460.114,964.2621
0.7299824,1,1457.697,964.7416,1458.905,964.5018
0.7392311,1,1457.697,964.7416,1458.301,964.6217
0.7523575,1,1448.776,975.7695,1453.539,970.1956
0.7629967,1,1448.776,975.7695,1451.158,972.9825
0.7749062,1,1440.857,986.7562,1446.008,979.8694
0.7861652,1,1440.857,986.7562,1443.432,983.3127
0.7972336,1,1440.857,986.7562,1442.145,985.0344
0.8082027,1,1435.206,993.4591,1438.675,989.2468
0.8188076,1,1435.206,993.4591,1436.941,991.3529
0.8321991,1,1432.037,998.6767,1434.489,995.0148
0.8590813,1,1432.037,998.6767,1433.263,996.8457
0.8696976,1,1428.884,1002.586,1431.073,999.7158
0.8778114,1,1428.884,1002.586,1429.979,1001.151
0.8850327,1,1428.884,1002.586,1429.432,1001.868
0.8977737,1,1427.625,1006.036,1428.528,1003.952
0.9074039,1,1427.625,1006.036,1428.077,1004.994
0.9178677,1,1427.625,1006.036,1427.851,1005.515
0.930851,1,1427.521,1008.084,1427.686,1006.799
0.940134,1,1427.521,1008.084,1427.603,1007.441
0.9531288,1,1427.588,1009.271,1427.595,1008.356
0.9634075,1,1427.588,1009.271,1427.592,1008.814
0.9763489,1,1427.588,1009.271,1427.59,1009.042
0.9879665,1,1427.968,1010.142,1427.779,1009.592
0.9989338,1,1427.968,1010.142,1427.873,1009.867
1.023054,1,1428.345,1011.321,1428.109,1010.594
1.029388,1,1428.345,1011.321,1428.227,1010.958
1.036373,1,1428.345,1011.321,1428.286,1011.14
1.050154,1,1428.846,1012.334,1428.566,1011.737
1.060667,1,1428.846,1012.334,1428.706,1012.035
1.07288,1,1428.846,1012.334,1428.776,1012.185
1.085083,1,1428.832,1013.966,1428.804,1013.075
1.09551,1,1428.832,1013.966,1428.818,1013.52
1.107466,1,1417.894,1016.154,1423.356,1014.837
1.118145,1,1417.894,1016.154,1420.625,1015.496
1.131458,1,1417.894,1016.154,1419.26,1015.825
1.140965,1,1342.975,1014.972,1381.117,1015.398
1.154013,1,1342.975,1014.972,1362.046,1015.185
1.166805,1,1124.698,1001.024,1243.372,1008.105
1.176283,1,1124.698,1001.024,1184.035,1004.565
1.189615,1,1124.698,1001.024,1154.367,1002.794
1.200401,1,926.5229,988.3019,1040.445,995.5482
1.213835,1,926.5229,988.3019,983.4839,991.925
1.2239,1,818.8638,976.778,901.1738,984.3515
1.237144,1,818.8638,976.778,860.0188,980.5647
1.249237,1,818.8638,976.778,839.4413,978.6713
1.259024,1,765.602,969.1659,802.5216,973.9186
1.271742,1,765.602,969.1659,784.0618,971.5422
1.285776,1,739.6314,965.3765,761.8466,968.4594
1.295422,1,739.6314,965.3765,750.739,966.9179
1.306665,1,739.6314,965.3765,745.1852,966.1472
1.317617,1,726.6849,961.1002,735.9351,963.6237
1.330069,1,726.6849,961.1002,731.31,962.3619
1.339283,1,726.6849,961.1002,728.9974,961.7311
1.352489,1,720.6318,955.4558,724.8146,958.5934
1.363132,1,720.6318,955.4558,722.7233,957.0247
1.374958,1,720.6318,955.4558,721.6776,956.2402
1.386477,1,744.0651,950.5096,732.8713,953.3749
1.397285,1,744.0651,950.5096,738.4682,951.9423
1.410744,1,788.2811,953.4639,763.3746,952.7031
1.420322,1,788.2811,953.4639,775.8279,953.0835
1.433409,1,788.2811,953.4639,782.0544,953.2737
1.445862,1,948.9762,963.0096,865.5153,958.1416
1.455431,1,948.9762,963.0096,907.2457,960.5756
1.468384,1,1151.868,971.6021,1029.557,966.0888
1.479584,1,1151.868,971.6021,1090.712,968.8455
1.490503,1,1151.868,971.6021,1121.29,970.2238
1.501209,1,1287.139,977.6716,1204.215,973.9476
1.516102,1,1287.139,977.6716,1245.677,975.8096
1.527029,1,1358.562,979.7181,1302.12,977.7638
1.537102,1,1358.562,979.7181,1330.341,978.741
1.550663,1,1358.562,979.7181,1344.451,979.2295
1.560522,1,1393.814,978.6212,1369.133,978.9254
1.572233,1,1393.814,978.6212,1381.474,978.7733
1.583595,1,1393.814,978.6212,1387.644,978.6973
1.5977,1,1411.458,976.2073,1399.551,977.4523
1.606838,1,1411.458,976.2073,1405.505,976.8298
1.617298,1,1404.248,966.7437,1404.876,971.7867
1.62957,1,1404.248,966.7437,1404.563,969.2653
1.640459,1,1404.248,966.7437,1404.406,968.0045
1.653105,1,1396.133,958.7741,1400.269,963.3893
1.663845,1,1396.133,958.7741,1398.201,961.0817
1.67601,1,1396.133,958.7741,1397.167,959.9279
1.688728,1,1389.474,952.4298,1393.321,956.1788
1.700773,1,1389.474,952.4298,1391.397,954.3043
1.713478,1,1386.525,948.4408,1388.961,951.3726
1.722887,1,1386.525,948.4408,1387.743,949.9067
1.736561,1,1386.525,948.4408,1387.134,949.1737
1.747768,1,1384.686,944.6801,1385.91,946.9269
1.757357,1,1384.686,944.6801,1385.298,945.8035
1.769587,1,1384.686,944.6801,1384.992,945.2418
1.779358,1,1383.12,940.9716,1384.056,943.1067
1.791189,1,1383.12,940.9716,1383.588,942.0392
1.803904,1,1381.325,938.0455,1382.456,940.0424
1.81558,1,1381.325,938.0455,1381.891,939.0439
1.826191,1,1381.325,938.0455,1381.608,938.5447
1.836727,1,1379.731,935.4138,1380.669,936.9792
1.849998,1,1379.731,935.4138,1380.2,936.1965
1.860111,1,1378.476,932.8552,1379.338,934.5259
1.87258,1,1378.476,932.8552,1378.907,933.6906
1.883329,1,1378.476,932.8552,1378.692,933.2728
1.896336,1,1375.472,927.9782,1377.082,930.6255
1.90691,1,1375.472,927.9782,1376.277,929.3019
1.917887,1,1372.369,923.5206,1374.323,926.4113
1.930948,1,1372.369,923.5206,1373.346,924.9659
1.941923,1,1372.369,923.5206,1372.857,924.2433
1.95454,1,1371.322,923.2412,1372.09,923.7422
1.966074,1,1371.322,923.2412,1371.706,923.4917
1.975998,1,1371.322,923.2412,1371.514,923.3665
1.988031,1,1370.425,923.0446,1370.969,923.2055
2.000317,1,1370.425,923.0446,1370.697,923.125
2.023312,1,1368.094,923.2036,1369.396,923.1643
2.029564,1,1368.094,923.2036,1368.745,923.184
2.037785,1,1368.094,923.2036,1368.419,923.1938
2.050619,1,1365.352,922.8472,1366.886,923.0205
2.059303,1,1365.352,922.8472,1366.119,922.9338
2.071129,1,1365.352,922.8472,1365.736,922.8905
2.083282,1,1365.048,922.4786,1365.392,922.6846
2.094887,1,1365.048,922.4786,1365.22,922.5815
2.106707,1,1364.609,922.8601,1364.914,922.7208
2.118465,1,1364.609,922.8601,1364.761,922.7905
2.130632,1,1364.609,922.8601,1364.685,922.8253
2.140318,1,1362.093,922.4994,1363.389,922.6624
2.152822,1,1362.093,922.4994,1362.741,922.5809
2.164989,1,1359.701,922.4744,1361.221,922.5276
2.175749,1,1359.701,922.4744,1360.461,922.501
2.187952,1,1359.701,922.4744,1360.081,922.4877
2.198149,1,1357.862,921.131,1358.971,921.8093
2.210567,1,1357.862,921.131,1358.417,921.4702
2.22118,1,1357.862,921.131,1358.139,921.3005
2.235178,1,1353.009,919.656,1355.574,920.4783
2.247686,1,1353.009,919.656,1354.292,920.0671
2.258307,1,1345.099,916.0197,1349.695,918.0435
2.270098,1,1345.099,916.0197,1347.397,917.0316
2.280632,1,1345.099,916.0197,1346.248,916.5256
2.293945,1,1336.153,909.0746,1341.201,912.8001
2.303694,1,1336.153,909.0746,1338.677,910.9374
2.317802,1,1324.911,898.8434,1331.794,904.8904
2.327604,1,1324.911,898.8434,1328.352,901.8669
2.3381,1,1324.911,898.8434,1326.632,900.3552
2.351677,1,1313.229,885.1836,1319.93,892.7694
2.363796,1,1313.229,885.1836,1316.579,888.9765
2.37619,1,1308.845,873.1554,1312.712,881.0659
2.3881,1,1308.845,873.1554,1310.779,877.1107
2.398232,1,1308.845,873.1554,1309.812,875.1331
2.410692,1,1308.483,862.3299,1309.148,868.7314
2.421225,1,1308.483,862.3299,1308.815,865.5306
2.434515,1,1308.483,862.3299,1308.649,863.9303
2.443922,1,1309.903,851.4373,1309.276,857.6838
2.456114,1,1309.903,851.4373,1309.589,854.5605
2.468838,1,1310.609,837.9689,1310.099,846.2648
2.480503,1,1310.609,837.9689,1310.354,842.1168
2.491972,1,1310.609,837.9689,1310.482,840.0428
2.503201,1,1311.168,829.5601,1310.825,834.8015
2.516876,1,1311.168,829.5601,1310.996,832.1808
2.526794,1,1314.293,822.9392,1312.645,827.56
2.537985,1,1314.293,822.9392,1313.469,825.2496
2.550886,1,1314.293,822.9392,1313.881,824.0944
2.560492,1,1316.014,822.0994,1314.948,823.0969
2.572174,1,1316.014,822.0994,1315.481,822.5981
2.58386,1,1316.014,822.0994,1315.747,822.3488
2.596151,1,1316.065,820.9901,1315.906,821.6694
2.608276,1,1316.065,820.9901,1315.986,821.3298
2.619173,1,1316.023,819.9935,1316.005,820.6616
2.63133,1,1316.023,819.9935,1316.014,820.3276
2.641098,1,1316.023,819.9935,1316.019,820.1605
2.652964,1,1310.612,818.8513,1313.315,819.5059
2.665836,1,1310.612,818.8513,1311.964,819.1786
2.67502,1,1307.837,818.6692,1309.9,818.9239
2.687344,1,1307.837,818.6692,1308.869,818.7965
2.698959,1,1307.837,818.6692,1308.353,818.7328
2.710539,1,1307.712,818.6468,1308.032,818.6898
2.721231,1,1307.712,818.6468,1307.872,818.6683
2.734121,1,1307.712,818.6468,1307.792,818.6576
2.746124,1,1303.491,817.4401,1305.641,818.0488
2.756102,1,1303.491,817.4401,1304.566,817.7445
2.769354,1,1297.973,815.5023,1301.269,816.6234
2.778481,1,1297.973,815.5023,1299.621,816.0629
2.791656,1,1297.973,815.5023,1298.797,815.7826
2.802727,1,1291.454,814.1644,1295.125,814.9735
2.816486,1,1291.454,814.1644,1293.289,814.569
2.825697,1,1291.454,814.1644,1292.371,814.3667
2.836626,1,1283.619,813.254,1287.995,813.8103
2.850502,1,1283.619,813.254,1285.807,813.5321
2.860319,1,1274.898,810.8254,1280.353,812.1787
2.87361,1,1274.898,810.8254,1277.625,811.5021
2.885878,1,1274.898,810.8254,1276.262,811.1637
2.898945,1,1266.497,806.3432,1271.379,808.7534
2.90839,1,1266.497,806.3432,1268.938,807.5483
2.919397,1,1263.765,800.7945,1266.351,804.1714
2.932903,1,1263.765,800.7945,1265.058,802.4829
2.942818,1,1263.765,800.7945,1264.411,801.6387
2.955091,1,1262.399,797.1538,1263.405,799.3962
2.96739,1,1262.399,797.1538,1262.902,798.275
2.977806,1,1266.289,796.0174,1264.596,797.1462
2.990417,1,1266.289,796.0174,1265.442,796.5818
3.001484,1,1266.289,796.0174,1265.866,796.2996
3.013815,1,1269.356,797.0113,1267.611,796.6554
3.023752,1,1269.356,797.0113,1268.483,796.8334
3.036276,1,1269.356,797.0113,1268.919,796.9224
3.045923,1,1272.425,799.1559,1270.672,798.0392
3.056826,1,1272.425,799.1559,1271.549,798.5975
3.0695,1,1272.425,799.1559,1271.987,798.8767
3.081179,1,1274.131,801.7041,1273.059,800.2904
3.092443,1,1274.131,801.7041,1273.595,800.9973
3.103556,1,1276.018,804.6657,1274.807,802.8315
3.118923,1,1276.018,804.6657,1275.413,803.7486
3.128946,1,1276.018,804.6657,1275.715,804.2072
3.140535,1,1278.39,808.6125,1277.052,806.4098
3.153164,1,1278.39,808.6125,1277.721,807.5111
3.163668,1,1280.933,814.5465,1279.327,811.0288
3.175543,1,1280.933,814.5465,1280.13,812.7877
3.187536,1,1280.933,814.5465,1280.531,813.6671
3.198271,1,1283.861,821.0919,1282.196,817.3795
3.209591,1,1283.861,821.0919,1283.029,819.2357
3.220905,1,1286.718,825.5651,1284.873,822.4004
3.234249,1,1286.718,825.5651,1285.795,823.9828
3.242846,1,1286.718,825.5651,1286.257,824.7739
3.256683,1,1287.476,830.9357,1286.866,827.8549
3.269283,1,1287.476,830.9357,1287.171,829.3953
3.277872,1,1287.476,830.9357,1287.323,830.1655
3.290939,1,1287.738,835.6664,1287.531,832.916
3.301064,1,1287.738,835.6664,1287.634,834.2911
3.316315,1,1287.911,841.5655,1287.772,837.9283
3.326948,1,1287.911,841.5655,1287.842,839.7469
3.337862,1,1287.911,841.5655,1287.876,840.6563
3.351067,1,1287.085,847.8926,1287.481,844.2744
3.360126,1,1287.085,847.8926,1287.283,846.0835
3.373623,1,1286.588,851.7453,1286.935,848.9144
3.385397,1,1286.588,851.7453,1286.761,850.3298
3.39909,1,1264.748,856.9513,1275.755,853.6406
3.411135,1,1264.748,856.9513,1270.251,855.2959
3.421741,1,1264.748,856.9513,1267.5,856.1236
3.434797,1,1175.051,872.4614,1221.275,864.2925
3.446156,1,1175.051,872.4614,1198.163,868.377
3.456097,1,1175.051,872.4614,1186.607,870.4192
3.468632,1,963.5015,905.0519,1075.054,887.7355
3.479836,1,963.5015,905.0519,1019.278,896.3937
3.491941,1,805.3969,917.9639,912.3374,907.1788
3.503721,1,805.3969,917.9639,858.8671,912.5713
3.516962,1,805.3969,917.9639,832.132,915.2676
3.528341,1,722.0478,920.0035,777.0898,917.6355
3.538725,1,722.0478,920.0035,749.5688,918.8195
3.551365,1,682.2015,923.8062,715.8852,921.3129
3.561846,1,682.2015,923.8062,699.0433,922.5596
3.573122,1,682.2015,923.8062,690.6224,923.1829
3.585457,1,688.3857,922.8602,689.5041,923.0215
3.596895,1,688.3857,922.8602,688.9449,922.9408
3.607794,1,688.3857,922.8602,688.6653,922.9005
3.617416,1,789.4356,915.8289,739.0505,919.3647
3.631927,1,789.4356,915.8289,764.243,917.5968
3.639399,1,789.4356,915.8289,776.8394,916.7128
3.654104,1,867.0403,911.2559,821.9398,913.9844
3.665464,1,867.0403,911.2559,844.4901,912.6201
3.675158,1,998.869,899.3685,921.6796,905.9943
3.688896,1,998.869,899.3685,960.2743,902.6814
3.698698,1,998.869,899.3685,979.5717,901.025
3.711607,1,1111.131,888.1987,1045.351,894.6118
3.721752,1,1111.131,888.1987,1078.241,891.4053
3.734755,1,1182.708,881.6967,1130.475,886.551
3.746595,1,1182.708,881.6967,1156.592,884.1238
3.756638,1,1182.708,881.6967,1169.65,882.9102
3.777609,1,1224.444,875.3899,1197.047,879.15
3.783323,1,1224.444,875.3899,1210.745,877.27
3.797033,1,1243.309,872.4018,1227.027,874.8359
3.80839,1,1243.309,872.4018,1235.168,873.6188
3.818203,1,1243.309,872.4018,1239.239,873.0103
3.831621,1,1251.042,868.5651,1245.14,870.7877
