time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
13.73242,1,1.5,2.452414,-0.3625033,2.113514,-0.286919
21.67944,2,1.5,-2.021464,0.369216,-1.860043,0.7498839
34.92715,3,1.5,-0.225257,1.414871,-0.3959754,1.439294
46.16696,4,1.5,0.9662851,-0.7022951,0.9593069,-0.9948483
50.58133,5,1.5,0.7856475,0.1961713,0.7301195,-0.01179357
54.1606,6,1.5,0.1199108,-1.18542,0.2976659,-1.058038
59.14215,7,1.5,-0.8060869,0.03749863,-0.7186766,0.2786807
65.40982,8,1.5,-0.7189527,-1.614386,-0.2673447,-1.30848
70.47163,9,1.5,-1.632867,-1.164275,-1.626216,-1.37226
75.84441,10,1.5,-1.904172,-0.5375981,-2.062529,-0.5457666
80.51585,11,1.5,-0.8058556,-0.3548711,-0.9691564,-0.6048657
86.74353,12,1.5,-0.6671607,-0.2421499,-0.535929,-0.2558383
90.68712,13,1.5,-1.338594,-1.054858,-1.611334,-1.007628
95.76376,14,1.5,-1.87272,-0.5979942,-2.195289,-0.5948915
101.201,15,1.5,-2.165817,-0.9201127,-2.449535,-1.196746
106.5369,16,1.5,-0.3486181,-1.305851,-0.0001952117,-1.452506
112.2509,17,1.5,-0.176876,-1.399506,-0.488789,-1.357852
117.41,18,1.5,0.4832983,-1.2877,0.5482433,-1.132572
121.8095,19,1.5,0.1777981,-0.5145393,-0.2955495,-0.7327719
126.4922,20,1.5,-0.05487341,-0.7421549,-0.2586847,-0.608712
131.1752,21,1.5,0.07438757,-1.613515,-0.005455193,-1.184093
141.4548,22,1.5,-1.268658,0.9057165,-1.627238,1.286902
148.2898,23,1.5,0.3468011,-1.35024,0.7387367,-0.81054
157.8393,24,1.5,-0.0009769467,-0.2134377,-0.1085523,-0.3206754
166.4217,25,1.5,-2.047585,-0.992651,-2.343704,-0.6542051
171.4025,26,1.5,-1.359358,-0.04298411,-1.498883,0.4056962
177.1918,27,1.5,-1.568065,-1.486261,-1.402117,-1.300939
186.9332,28,1.5,-0.9875433,0.3386342,-1.379352,0.5887071
195.2381,29,1.5,-1.305005,0.8972812,-1.587286,0.831735
198.732,30,1.5,-1.501496,-0.8476948,-1.807427,-0.8530748
203.3097,31,1.5,-0.5564128,-0.9396376,-0.7595863,-0.9829773
207.8546,32,1.5,0.110775,-1.527138,-0.05783657,-0.8767066
212.1768,33,1.5,-0.9160053,-0.1852022,-1.2822,-0.3724779
216.3987,34,1.5,-0.950745,-0.4041763,-1.221277,-0.379197
220.201,35,1.5,-1.628049,-0.712956,-1.907161,-1.22009
225.51,36,1.5,-1.515139,-0.3108282,-1.475111,0.2482341
231.3864,37,1.5,0.4190944,-1.215634,0.5707996,-0.5436627
236.3093,38,1.5,-1.065023,-1.210988,-1.376209,-1.379844
241.5709,39,1.5,-0.4554934,-0.9305914,-0.7283342,-1.262627
246.4821,40,1.5,0.070595,-0.5381328,-0.1849466,-0.8135952
254.807,41,1.5,-1.847714,-1.472094,-1.713487,-1.294697
260.097,42,1.5,-0.8457528,-1.741197,-1.224932,-1.194353
265.9306,43,1.5,-1.596175,-1.263616,-1.656832,-0.716134
270.6118,44,1.5,0.7545697,-0.622227,0.7417833,-0.8802955
280.9626,45,1.5,0.006458581,-0.8052091,0.4912986,-0.8627425
283.4208,46,1.5,1.751209,1.157803,1.823526,1.419121
286.7767,47,1.5,0.9636218,0.1737079,0.819275,0.257509
290.5222,48,1.5,1.597733,-0.9903734,2.030364,-1.22471
294.814,49,1.5,0.6346464,0.5573645,0.2299877,0.0541306
299.9898,50,1.5,-1.025579,-0.1438271,-1.235956,-0.3468972
304.5442,51,1.5,-2.429151,-0.7825911,-2.263296,-0.8600671
309.6685,52,1.5,-0.5267501,-1.206508,-0.3977106,-
