time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
29.80066,1,1.5,-1.461235,-0.1297839,-1.19494,-0.1656373
35.77802,2,1.5,-2.18945,-0.8096977,-2.365373,-0.8087574
83.18311,3,1.5,-0.02201194,-0.8504522,-0.4467126,-0.9088503
87.09342,4,1.5,0.3996817,-0.3579908,0.3360513,-0.2262798
91.6125,5,1.5,-2.104812,-0.4865554,-1.925495,-1.203614
95.88857,6,1.5,-0.3740344,-0.6616164,-0.1034338,-0.4555027
100.0857,7,1.5,-0.6615284,-0.3269947,-0.7544809,-0.003621972
102.886,8,1.5,-0.06893469,0.6838101,-0.3053126,0.8561748
106.5612,9,1.5,-0.449485,-0.07870632,-0.7319041,-0.2205688
111.2423,10,1.5,-1.063949,-0.3928571,-1.17069,-0.5192959
117.083,11,1.5,-2.032625,-1.25492,-2.208397,-1.468707
121.5266,12,1.5,-0.2619363,-0.7781323,-0.2482327,-1.327111
125.8126,13,1.5,0.2639548,-1.002688,0.09358,-1.392916
288.9411,14,1.5,2.11955,0.2450847,2.444868,-0.06066434
295.2603,15,1.5,-1.799392,-1.145359,-1.703548,-1.047625
301.9388,16,1.5,-1.794355,0.09594729,-2.155835,0.08494675
306.3502,17,1.5,-2.370263,-1.135764,-2.393515,-1.30424
316.9711,18,1.5,2.48464,0.7682658,2.395978,1.128046
322.1709,19,1.5,-2.376231,-1.172024,-2.49776,-1.333035
326.9494,20,1.5,0.475232,-1.655279,0.4126253,-1.451303
331.6466,21,1.5,2.72267,0.1495037,2.370561,-0.1390293
336.7866,22,1.5,-0.7458386,-1.05444,-0.8229957,-0.7863535
340.6802,23,1.5,-1.892938,-0.6520314,-2.114465,-0.3425294
344.6564,24,1.5,2.528217,-1.119253,2.421766,-1.177096
349.4871,25,1.5,-0.2334346,-1.102054,-0.3133469,-0.747325
353.1346,26,1.5,2.052779,-0.5247428,1.734009,-0.3108463
357.4214,27,1.5,-0.0522893,-0.3937912,-0.111817,-0.7126116
362.175,28,1.5,0.8471093,-0.7249964,0.7288589,-0.4791177
367.134,29,1.5,-1.516001,-0.7992001,-1.500663,-0.9465359
371.292,30,1.5,-2.262957,-1.491803,-2.337636,-1.468184
376.6374,31,1.5,-0.657329,-0.8339192,-0.5568492,-0.8395454
380.9042,32,1.5,-0.2988206,-1.02295,-0.4960179,-1.024406
385.789,33,1.5,-1.302858,-1.702332,-1.223516,-1.431295
390.4912,34,1.5,0.5347171,-0.7712023,0.6429921,-0.4217141
394.2289,35,1.5,2.328178,0.407877,2.07327,0.3336574
398.4817,36,1.5,0.07341946,-0.9983824,-0.2964678,-0.9442725
402.6725,37,1.5,0.3093941,-0.6863663,0.3195185,-0.600842
406.734,38,1.5,-2.193021,-1.219796,-2.284667,-1.02782
411.6083,39,1.5,0.9503791,-1.513281,1.090258,-1.425955
417.3321,40,1.5,2.279867,-1.179865,1.76951,-1.03927
422.29,41,1.5,-2.586887,-1.708786,-2.285454,-1.365154
426.5732,42,1.5,-1.811919,-1.023539,-1.952157,-0.9161561
431.1916,43,1.5,0.02265288,-0.127072,-0.1716879,-0.1795874
436.3254,44,1.5,-2.005405,-1.11062,-1.68065,-1.277172
440.9549,45,1.5,-0.07604469,-1.069393,-0.06269418,-1.196803
445.1045,46,1.5,2.21912,-0.7970077,2.017368,-0.6324556
452.4044,47,1.5,-1.528607,-1.599326,-1.660653,-1.317279
456.6829,48,1.5,-1.096518,-0.4489936,-1.311745,-0.7423652
460.3044,49,1.5,-2.226511,-0.8747876,-2.391549,-0.8325453
464.4404,50,1.5,-0.2746955,-1.257363,-0.1455671,-1.099822
468.4326,51,1.5,0.008672298,-0.7696379,0.04381907,-0.6558433
472.7257,52,1.5,0.2370883,-1.335546,0.3066802,-1.288271
478.0565,53,1.5,-0.6708645,-1.052585,-0.6094837,-0.7522076
481.9254,54,1.5,-0.4279781,-0.1932084,-0.691124,-0.3486269
486.6112,55,1.5,-0.02169336,-1.223163,-0.0786411,-1.128082
490.5704,56,1.5,2.232585,-0.4948382,2.147829,-0.3947292
494.7735,57,1.5,0.2810527,-0.5005436,0.3202934,-0.5236928
503.6089,58,1.5,-0.549481,1.557588,-0.6771743,1.481183
508.4777,59,1.5,-2.342764,-0.9606408,-2.355063,-0.9412888
512.8918,60,1.5,-1.282645,-1.045367,-1.416652,-1.016816
517.5438,61,1.5,-0.03593776,-0.9092547,0.2460496,-0.7160265
522.4597,62,1.5,0.6631992,-0.267301,0.8136447,-0.2254307
526.3578,63,1.5,-0.1724985,-0.1136903,-0.401154,-0.3433352
530.2873,64,1.5,-0.8160701,-0.3063888,-1.032311,-0.303999
534.6064,65,1.5,0.1653365,1.165946,0.5202968,1.016001
539.8983,66,1.5,-0.09206668,-0.5283412,-0.6284259,-0.3416932
543.4537,67,1.5,-2.225478,-1.076802,-2.324277,-0.8795243
548.2878,68,1.5,-0.01940345,-1.002851,-0.02731409,-0.7472091
551.8435,69,1.5,1.713445,-0.204212,1.595964,-0.3715691
557.4605,70,1.5,-1.865934,-1.691015,-1.614768,-1.414068
561.9203,71,1.5,1.473001,1.077355,1.384337,0.9450195
572.533,72,1.5,-2.146942,-0.12956,-1.730704,-0.1283209
576.0306,73,1.5,2.121874,0.6886239,1.802397,0.4506755
579.711,74,1.5,1.92398,-0.2336427,1.833891,-0.2035556
584.5294,75,1.5,-1.150253,-0.5975553,-0.9746904,-0.4810044
589.0903,76,1.5,-0.004148779,-1.225756,0.1490714,-0.8740863
592.8745,77,1.5,2.16014,-0.3298913,2.141198,-0.5764952
597.8764,78,1.5,-2.429066,-1.747195,-2.417305,-1.395363
603.2769,79,1.5,-1.88698,-0.8577306,-1.74669,-0.6599672
613.7175,80,1.5,0.6066321,-0.5884923,0.3102061,-0.6289445
616.2106,81,1.5,2.363073,1.352735,2.058583,1.249929
620.7795,82,1.5,-1.883393,-1.121652,-1.857046,-1.243584
625.8409,83,1.5,0.3800008,-0.6801845,0.2963047,-0.6944715
629.8486,84,1.5,-2.007075,-0.4059603,-2.174497,-0.5921902
633.6879,85,1.5,-2.33214,-0.6807822,-2.283899,-0.5831299
638.6381,86,1.5,1.046504,-0.7624266,0.9343209,-0.734337
641.54,87,1.5,1.904151,1.005785,1.453574,0.6493879
644.8682,88,1.5,-0.1654
