time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
11.46552,1,1.3,0.09160555,-1.443966,0.2218174,-1.434901
16.23729,2,1.3,-0.8000673,-0.08745863,-0.9119697,-0.3091396
20.28736,3,1.3,2.323305,-0.5694857,2.355477,-0.2793673
25.78386,4,1.3,-0.3880955,-1.724257,-0.1352111,-1.370972
31.24964,5,1.3,-0.5484042,-1.738935,-0.562778,-1.491793
35.41828,6,1.3,-1.214828,-1.062678,-1.296941,-0.9929251
39.45278,7,1.3,-1.20897,-1.060243,-1.427901,-1.37924
43.89316,8,1.3,-0.01893779,-0.5354499,-0.0928195,-0.7854706
49.96915,9,1.3,-0.03502114,0.1508939,0.04292306,0.04323499
54.83028,10,1.3,-0.457573,-0.9599283,-0.4577244,-0.968391
59.00716,11,1.3,-1.957694,-1.021905,-2.146614,-1.39558
63.8393,12,1.3,-0.8217182,-1.33525,-0.9633164,-1.356389
68.66316,13,1.3,-1.513337,-1.554858,-1.522563,-1.391065
77.11938,14,1.3,0.2563291,0.6357492,0.453784,0.5925568
93.37521,15,1.3,1.851307,0.8165665,2.071924,0.7235586
101.9154,16,1.3,-0.1756011,0.985595,-0.1941516,1.046091
105.9912,17,1.3,-1.2223
