time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
55.72523,1,1.5,-0.285429,-1.387193,-0.77725,-0.9059824
64.67355,2,1.5,-1.590553,0.8546005,-1.309182,1.035154
102.8238,3,1.5,-1.755814,-1.038765,-2.139013,-0.5382499
108.2442,4,1.5,-0.7461895,-1.386691,-0.7495666,-1.508803
135.6475,5,1.5,-2.372817,0.1511648,-2.102931,0.1979076
139.5318,6,1.5,-1.631386,-0.6895713,-1.57697,-0.679419
143.6255,7,1.5,-2.097534,-0.7811133,-2.17726,-0.8836588
148.9695,8,1.5,0.9293631,-0.6603598,0.6332633,-0.9436781
153.5273,9,1.5,0.6077082,-1.513851,0.485949,-1.275011
157.8332,10,1.5,-0.8428084,-1.098667,-1.168396,-1.504122
167.9578,11,1.5,0.5256372,-1.427021,0.1148225,-1.453542
172.7062,12,1.5,-0.4208216,-0.696246,-0.4766103,-0.4487393
219.4681,13,1.5,0.3226894,-0.5853366,0.1865246,-0.6453887
234.0775,14,1.5,-0.8450309,-1.463197,-0.9193244,-1.417688
271.1851,15,1.5,-2.043784,-1.259511,-2.383899,-0.796214
275.649,16,1.5,-1.8581,-1.418983,-1.802753,-1.228585
297.0947,17,1.5,-0.8524005,-0.7562343,-0.8320031,-0.7072148
