time,ansTime1,ansTime2,ansTime3,ansTimeAve
0.9928188,7,7,7,0
0.9928188,7,7,7,0
0.9928188,7,7,7,0
0.9928188,7,7,7,0
0.9928188,7,7,7,0
0.9928188,7,7,7,0
1.053265,7,7,7,0
1.053265,7,7,7,0
1.053265,7,7,7,0
1.053265,7,7,7,0
1.053265,7,7,7,0
1.053265,7,7,7,0
1.067741,7,7,7,0
1.067741,7,7,7,0
1.067741,7,7,7,0
1.067741,7,7,7,0
1.067741,7,7,7,0
1.067741,7,7,7,0
1.078812,7,7,7,0
1.078812,7,7,7,0
1.078812,7,7,7,0
1.078812,7,7,7,0
1.078812,7,7,7,0
1.078812,7,7,7,0
1.084927,7,7,7,0
1.084927,7,7,7,0
1.084927,7,7,7,0
1.084927,7,7,7,0
1.084927,7,7,7,0
1.084927,7,7,7,0
1.094078,7,7,7,0
1.094078,7,7,7,0
1.094078,7,7,7,0
1.094078,7,7,7,0
1.094078,7,7,7,0
1.094078,7,7,7,0
1.106974,7,7,7,0
1.106974,7,7,7,0
1.106974,7,7,7,0
1.106974,7,7,7,0
1.106974,7,7,7,0
1.106974,7,7,7,0
1.115757,7,7,7,0
1.115757,7,7,7,0
1.115757,7,7,7,0
1.115757,7,7,7,0
1.115757,7,7,7,0
1.115757,7,7,7,0
1.128719,7,7,7,0
1.128719,7,7,7,0
1.128719,7,7,7,0
1.128719,7,7,7,0
1.128719,7,7,7,0
1.128719,7,7,7,0
1.139698,7,7,7,0
1.139698,7,7,7,0
1.139698,7,7,7,0
1.139698,7,7,7,0
1.139698,7,7,7,0
1.139698,7,7,7,0
1.148836,7,7,7,0
1.148836,7,7,7,0
1.148836,7,7,7,0
1.148836,7,7,7,0
1.148836,7,7,7,0
1.148836,7,7,7,0
1.160402,7,7,7,0
1.160402,7,7,7,0
1.160402,7,7,7,0
1.160402,7,7,7,0
1.160402,7,7,7,0
1.160402,7,7,7,0
1.170818,7,7,7,0
1.170818,7,7,7,0
1.170818,7,7,7,0
1.170818,7,7,7,0
1.170818,7,7,7,0
1.170818,7,7,7,0
1.182386,7,7,7,0
1.182386,7,7,7,0
1.182386,7,7,7,0
1.182386,7,7,7,0
1.182386,7,7,7,0
1.182386,7,7,7,0
