Time,LorR,Question,Character,Answer_State,Answer_Time
42.80883,right,9999,xxx,irrelevant_answer,9999
42.83986,left,9999,xx,irrelevant_answer,9999
47.10646,right,1,R,correct,0.7779694
51.98473,left,3,L,correct,0.7827759
55.83861,right,5,R,correct,0.8794403
63.37045,left,4,L,correct,0.7703629
63.42363,right,9999,xxx,irrelevant_answer,9999
66.55708,right,2,R,correct,0.09541321
66.64389,left,9999,xx,irrelevant_answer,9999
71.81671,right,6,R,correct,1.997795
77.6489,right,3,R,correct,1.913803
82.36737,left,5,L,correct,1.299477
87.1418,left,1,L,correct,1.236092
93.23987,left,4,R,character_mistake,1.245819
96.5845,left,5,L,correct,0.6780853
102.0277,left,9999,xx,irrelevant_answer,9999
105.6712,left,1,L,correct,1.210114
110.5161,right,6,R,correct,1.094162
114.4845,left,4,L,correct,1.567642
119.0446,right,3,R,correct,0.8270569
124.5034,right,4,L,character_mistake,1.209061
124.6377,left,9999,xx,irrelevant_answer,9999
124.7321,left,9999,xx,irrelevant_answer,9999
127.7779,left,6,L,correct,0.9121094
133.0311,left,3,L,correct,1.911453
137.1611,left,5,L,correct,0.8349609
141.6684,left,1,L,correct,0.708374
144.9724,left,2,L,correct,0.9994659
145.1344,left,9999,xx,irrelevant_answer,9999
150.1383,right,6,R,correct,0.9750824
153.3223,right,9999,xxx,irrelevant_answer,9999
155.679,right,3,R,correct,0.6893616
158.7069,left,1,R,character_mistake,0.7666931
163.2937,right,5,R,correct,0.8537903
166.7995,right,2,R,correct,0.741745
173.6075,right,9999,xxx,irrelevant_answer,9999
178.3592,left,5,L,correct,0.7611847
183.7521,left,2,L,correct,0.7878113
187.69,left,1,L,correct,0.7753143
193.092,left,6,L,correct,0.9765778
196.4393,left,3,L,correct,0.9870605
199.3949,left,4,L,correct,0.8645935
204.4518,right,6,R,correct,1.709442
208.1992,right,9999,xxx,irrelevant_answer,9999
210.1469,left,1,L,correct,0.6996765
214.2475,left,4,L,correct,0.6999359
217.2742,left,5,L,correct,0.7922974
222.94,right,3,R,correct,0.8998108
226.4062,right,2,R,correct,0.8197327
230.2587,right,4,R,correct,0.7435913
234.4768,right,1,R,correct,1.011841
238.1232,left,2,L,correct,0.7751465
242.692,left,3,L,correct,0.7145386
248.035,right,5,R,correct,0.6182251
252.1554,left,6,L,correct,0.8765869
