time,is_recent,pos_x,pos_y,filtered_pos_x,filtered_pos_y
0.01302719,1,1162.428,83.2872,581.214,41.6436
0.06554985,1,1148.516,90.71535,864.8649,66.17947
0.0765934,1,1107.152,115.3626,986.0083,90.77104
0.0889492,1,1107.152,115.3626,1046.58,103.0668
0.09841919,1,1107.152,115.3626,1076.866,109.2147
0.11236,1,1061.184,142.6617,1069.025,125.9382
0.1200867,1,1061.184,142.6617,1065.104,134.3
0.1331482,1,1061.184,142.6617,1063.144,138.4809
0.1446838,1,1061.184,142.6617,1062.164,140.5713
0.1552467,1,1061.184,142.6617,1061.674,141.6165
0.167263,1,1061.184,142.6617,1061.429,142.1391
0.1772518,1,1061.184,142.6617,1061.306,142.4004
0.1894951,1,1061.184,142.6617,1061.245,142.5311
0.1981411,1,1061.184,142.6617,1061.215,142.5964
0.211834,1,1061.184,142.6617,1061.199,142.6291
0.2224827,1,1061.184,142.6617,1061.192,142.6454
0.2338257,1,1061.184,142.6617,1061.188,142.6536
0.245779,1,1061.184,142.6617,1061.186,142.6577
0.2553883,1,1013.804,195.198,1037.495,168.9278
0.2675972,1,1013.804,195.198,1025.649,182.0629
0.2766247,1,1013.804,195.198,1019.726,188.6304
0.2897186,1,1002.224,202.7092,1010.975,195.6698
0.2974834,1,1002.224,202.7092,1006.6,199.1895
0.3108788,1,1002.224,202.7092,1004.412,200.9493
0.3197422,1,1002.224,202.7092,1003.318,201.8293
0.3332672,1,1002.224,202.7092,1002.771,202.2692
0.3406887,1,1002.224,202.7092,1002.498,202.4892
0.3530407,1,1002.224,202.7092,1002.361,202.5992
0.3641472,1,1002.224,202.7092,1002.293,202.6542
0.3727016,1,1002.224,202.7092,1002.259,202.6817
0.3830872,1,1002.224,202.7092,1002.242,202.6954
0.4038601,1,1002.224,202.7092,1002.233,202.7023
0.4142876,1,1002.224,202.7092,1002.229,202.7057
0.4246922,1,1002.224,202.7092,1002.227,202.7075
0.4339314,1,1002.224,202.7092,1002.226,202.7083
0.4457569,1,1002.224,202.7092,1002.225,202.7087
0.4543209,1,1002.224,202.7092,1002.225,202.709
0.4657078,1,1217.165,186.851,1109.695,194.78
0.4774876,1,1217.165,186.851,1163.43,190.8155
0.4899826,1,1217.165,186.851,1190.298,188.8333
0.4980774,1,1220.935,202.6551,1205.616,195.7442
0.5106144,1,1220.935,202.6551,1213.275,199.1996
0.519949,1,1220.935,202.6551,1217.105,200.9273
0.5353642,1,1202.634,242.2083,1209.869,221.5678
0.5452042,1,1202.634,242.2083,1206.252,231.888
0.5537872,1,1202.634,242.2083,1204.443,237.0482
0.5656986,1,1165.425,293.6222,1184.934,265.3351
0.5772648,1,1165.425,293.6222,1175.179,279.4786
0.5883446,1,1164.234,337.4208,1169.707,308.4497
0.598238,1,1164.234,337.4208,1166.97,322.9352
0.6095963,1,1164.234,337.4208,1165.602,330.178
0.6196976,1,1261.642,484.8938,1213.622,407.5359
0.632349,1,1261.642,484.8938,1237.632,446.2148
0.6446934,1,1261.642,484.8938,1249.637,465.5543
0.6528969,1,1344.644,602.3518,1297.14,533.9531
0.664669,1,1344.644,602.3518,1320.892,568.1525
0.6735115,1,1344.644,602.3518,1332.768,585.2521
0.6859436,1,1381.349,660.763,1357.058,623.0076
0.6969166,1,1381.349,660.763,1369.204,641.8853
0.7074242,1,1381.349,660.763,1375.276,651.3241
0.720274,1,1394.115,687.5754,1384.696,669.4497
0.7308159,1,1394.115,687.5754,1389.405,678.5126
0.7426357,1,1398.677,696.1556,1394.041,687.3341
0.7512932,1,1398.677,696.1556,1396.359,691.7449
0.7634583,1,1398.677,696.1556,1397.518,693.9503
0.7831421,1,1402.174,700.1646,1399.846,697.0574
0.7897854,1,1402.174,700.1646,1401.01,698.611
0.802845,1,1404.367,700.3505,1402.689,699.4807
0.812912,1,1404.367,700.3505,1403.528,699.9156
0.8244114,1,1404.367,700.3505,1403.948,700.1331
0.8346653,1,1402.301,698.6007,1403.125,699.3669
0.8462906,1,1402.301,698.6007,1402.713,698.9838
0.8562565,1,1402.301,698.6007,1402.507,698.7922
0.8695698,1,1401.464,699.736,1401.986,699.2642
0.8792591,1,1401.464,699.736,1401.725,699.5001
0.890192,1,1401.464,699.736,1401.594,699.618
0.9029465,1,1425.61,726.3271,1413.602,712.9725
0.91366,1,1425.61,726.3271,1419.606,719.6498
0.9260406,1,1456.636,760.3925,1438.121,740.0211
0.937252,1,1456.636,760.3925,1447.378,750.2068
0.9476414,1,1456.636,760.3925,1452.007,755.2997
0.9585037,1,1475.61,785.9814,1463.809,770.6406
0.9732094,1,1475.61,785.9814,1469.71,778.311
0.9798927,1,1475.61,785.9814,1472.66,782.1462
0.9911156,1,1489.7,801.9827,1481.18,792.0645
1.004076,1,1489.7,801.9827,1485.44,797.0236
1.011019,1,1489.7,801.9827,1487.57,799.5032
1.02083,1,1500.234,813.6906,1493.902,806.5969
1.032568,1,1500.234,813.6906,1497.068,810.1437
1.042822,1,1508.441,821.7016,1502.754,815.9226
1.052067,1,1508.441,821.7016,1505.598,818.8121
1.062307,1,1508.441,821.7016,1507.019,820.2568
1.073013,1,1514.234,827.9392,1510.626,824.098
1.083883,1,1514.234,827.9392,1512.43,826.0186
1.095354,1,1514.234,827.9392,1513.332,826.9789
1.10634,1,1517.537,832.3481,1515.434,829.6635
1.118126,1,1517.537,832.3481,1516.486,831.0059
1.12816,1,1517.537,832.3481,1517.011,831.677
1.136904,1,1518.087,834.0655,1517.549,832.8712
1.147772,1,1518.087,834.0655,1517.818,833.4684
1.163818,1,1518.69,835.7513,1518.254,834.6099
1.173977,1,1518.69,835.7513,1518.472,835.1806
1.185904,1,1518.69,835.7513,1518.581,835.4659
1.196121,1,1520.483,836.0484,1519.532,835.7572
1.207998,1,1520.483,836.0484,1520.007,835.9028
1.218378,1,1520.483,836.0484,1520.245,835.9756
1.233561,1,1521.14,835.8149,1520.692,835.8953
1.24255,1,1521.14,835.8149,1520.916,835.8551
1.252897,1,1520.77,835.6348,1520.843,835.7449
1.265551,1,1520.77,835.6348,1520.806,835.6898
1.275423,1,1520.77,835.6348,1520.788,835.6623
1.288364,1,1520.563,835.7441,1520.675,835.7032
1.298697,1,1520.563,835.7441,1520.619,835.7236
1.31349,1,1520.196,835.74,1520.407,835.7318
1.322643,1,1520.196,835.74,1520.302,835.7359
1.334097,1,1520.196,835.74,1520.249,835.7379
1.347727,1,1519.791,835.6607,1520.02,835.6993
1.35533,1,1519.791,835.6607,1519.905,835.6801
1.36805,1,1519.791,835.6607,1519.848,835.6704
1.379271,1,1519.12,835.6894,1519.484,835.6799
1.388769,1,1519.12,835.6894,1519.302,835.6847
1.399445,1,1519.12,835.6894,1519.211,835.687
1.414743,1,1518.527,835.1487,1518.869,835.4178
1.423456,1,1518.527,835.1487,1518.698,835.2833
1.433847,1,1517.924,834.6608,1518.311,834.972
1.444986,1,1517.924,834.6608,1518.117,834.8164
1.454075,1,1517.924,834.6608,1518.021,834.7386
1.467661,1,1517.437,834.1397,1517.729,834.4391
1.476913,1,1517.437,834.1397,1517.583,834.2894
1.488264,1,1517.437,834.1397,1517.51,834.2146
1.500368,1,1516.319,833.2715,1516.915,833.743
1.511137,1,1516.319,833.2715,1516.617,833.5073
1.519968,1,1516.319,833.2715,1516.468,833.3894
1.533817,1,1515.053,831.9156,1515.76,832.6525
1.540503,1,1515.053,831.9156,1515.406,832.2841
1.553976,1,1515.053,831.9156,1515.229,832.0999
1.563826,1,1512.831,830.5038,1514.03,831.3019
1.578056,1,1512.831,830.5038,1513.431,830.9028
1.586555,1,1509.861,827.915,1511.646,829.4089
1.597044,1,1509.861,827.915,1510.753,828.662
1.611853,1,1509.861,827.915,1510.307,828.2885
1.61916,1,1506.237,824.2271,1508.272,826.2578
1.63069,1,1506.237,824.2271,1507.255,825.2424
1.643827,1,1506.237,824.2271,1506.746,824.7347
1.653917,1,1506.836,786.8689,1506.791,805.8018
1.66839,1,1506.836,786.8689,1506.813,796.3353
1.678329,1,1541.644,624.5618,1524.229,710.4486
1.68928,1,1541.644,624.5618,1532.937,667.5052
1.699987,1,1541.644,624.5618,1537.29,646.0336
1.711845,1,1577.692,469.9893,1557.491,558.0114
1.721262,1,1577.692,469.9893,1567.592,514.0004
1.734318,1,1577.692,469.9893,1572.642,491.9948
1.744442,1,1596.728,394.3037,1584.685,443.1493
1.752878,1,1596.728,394.3037,1590.706,418.7265
1.766708,1,1606.089,356.2114,1598.397,387.469
1.775705,1,1606.089,356.2114,1602.243,371.8402
1.787056,1,1606.089,356.2114,1604.166,364.0258
1.797812,1,1606.268,338.4751,1605.217,351.2504
1.809879,1,1606.268,338.4751,1605.742,344.8627
1.819456,1,1606.268,338.4751,1606.005,341.6689
1.830383,1,1608.948,330.3227,1607.476,335.9958
1.841013,1,1608.948,330.3227,1608.212,333.1592
1.853308,1,1608.948,330.3227,1608.58,331.741
1.862473,1,1632.454,265.7324,1620.517,298.7367
1.874151,1,1632.454,265.7324,1626.485,282.2346
1.885303,1,1632.454,265.7324,1629.469,273.9835
1.894455,1,1653.923,182.1557,1641.696,228.0696
1.906937,1,1653.923,182.1557,1647.809,205.1126
1.916256,1,1653.923,182.1557,1650.866,193.6341
1.928545,1,1661.842,136.4399,1656.354,165.037
1.939873,1,1661.842,136.4399,1659.098,150.7385
1.9492,1,1667.581,113.8377,1663.339,132.2881
1.959188,1,1667.581,113.8377,1665.46,123.0629
1.972883,1,1667.581,113.8377,1666.521,118.4503
1.981237,1,1670.707,101.8217,1668.614,110.136
1.996584,1,1670.707,101.8217,1669.661,105.9788
2.006155,1,1670.707,101.8217,1670.184,103.9003
2.016214,1,1672.07,94.86617,1671.127,99.38321
2.028843,1,1672.07,94.86617,1671.598,97.12469
2.038183,1,1672.07,94.86617,1671.834,95.99542
2.050268,1,1672.981,91.68982,1672.407,93.84262
2.06465,1,1672.981,91.68982,1672.694,92.76622
2.072638,1,1674.716,89.0387,1673.705,90.90247
2.084743,1,1674.716,89.0387,1674.211,89.97058
2.095102,1,1674.716,89.0387,1674.464,89.50464
2.106033,1,1676.073,87.33479,1675.268,88.41972
2.116169,1,1676.073,87.33479,1675.67,87.87726
2.127567,1,1676.073,87.33479,1675.871,87.60603
2.138237,1,1678.164,85.42673,1677.018,86.51638
2.149408,1,1678.164,85.42673,1677.591,85.97156
2.161066,1,1669.899,97.61842,1673.745,91.79499
2.173752,1,1669.899,97.61842,1671.822,94.70671
2.183144,1,1669.899,97.61842,1670.86,96.16257
2.192276,1,1620.428,222.589,1645.645,159.3758
2.204252,1,1620.428,222.589,1633.036,190.9824
2.212946,1,1620.428,222.589,1626.732,206.7857
2.224628,1,1509.997,498.8884,1568.365,352.8371
2.23562,1,1509.997,498.8884,1539.181,425.8627
2.246159,1,1509.997,498.8884,1524.589,462.3755
2.255508,1,1450.513,659.274,1487.551,560.8248
2.268732,1,1450.513,659.274,1469.032,610.0494
2.277264,1,1450.513,659.274,1459.772,634.6617
2.290134,1,1424.552,725.324,1442.162,679.9928
2.300449,1,1424.552,725.324,1433.357,702.6584
2.309063,1,1424.552,725.324,1428.955,713.9912
2.318974,1,1414.657,754.363,1421.806,734.1771
2.33033,1,1414.657,754.363,1418.232,744.2701
2.337862,1,1414.657,754.363,1416.444,749.3165
2.355583,1,1412.001,761.0366,1414.223,755.1766
2.368608,1,1412.001,761.0366,1413.112,758.1066
2.377829,1,1409.622,763.6097,1411.367,760.8582
2.388374,1,1409.622,763.6097,1410.494,762.2339
2.399206,1,1409.622,763.6097,1410.058,762.9219
2.411301,1,1410.025,766.9047,1410.041,764.9133
2.420866,1,1410.025,766.9047,1410.033,765.9091
2.432976,1,1410.014,766.7994,1410.024,766.3542
2.442751,1,1410.014,766.7994,1410.019,766.5768
2.452826,1,1410.014,766.7994,1410.017,766.6881
2.465084,1,1411.807,755.3118,1410.912,760.9999
