time,ansTime1,ansTime2,ansTime3,ansTimeAve
0.3040805,7,7,7,0
0.3040805,7,7,7,0
0.3040805,7,7,7,0
0.3040805,7,7,7,0
0.3040805,7,7,7,0
0.3040805,7,7,7,0
0.8610244,7,7,7,0
0.8610244,7,7,7,0
0.8610244,7,7,7,0
0.8610244,7,7,7,0
0.8610244,7,7,7,0
0.8610244,7,7,7,0
0.9325993,7,7,7,0
0.9325993,7,7,7,0
0.9325993,7,7,7,0
0.9325993,7,7,7,0
0.9325993,7,7,7,0
0.9325993,7,7,7,0
0.9456389,7,7,7,0
0.9456389,7,7,7,0
0.9456389,7,7,7,0
0.9456389,7,7,7,0
0.9456389,7,7,7,0
0.9456389,7,7,7,0
0.954797,7,7,7,0
0.954797,7,7,7,0
0.954797,7,7,7,0
0.954797,7,7,7,0
0.954797,7,7,7,0
0.954797,7,7,7,0
0.9620402,7,7,7,0
0.9620402,7,7,7,0
0.9620402,7,7,7,0
0.9620402,7,7,7,0
0.9620402,7,7,7,0
0.9620402,7,7,7,0
0.9792483,7,7,7,0
0.9792483,7,7,7,0
0.9792483,7,7,7,0
0.9792483,7,7,7,0
0.9792483,7,7,7,0
0.9792483,7,7,7,0
0.9833629,7,7,7,0
0.9833629,7,7,7,0
0.9833629,7,7,7,0
0.9833629,7,7,7,0
0.9833629,7,7,7,0
0.9833629,7,7,7,0
0.9893634,7,7,7,0
0.9893634,7,7,7,0
0.9893634,7,7,7,0
0.9893634,7,7,7,0
0.9893634,7,7,7,0
0.9893634,7,7,7,0
0.9962223,7,7,7,0
0.9962223,7,7,7,0
0.9962223,7,7,7,0
0.9962223,7,7,7,0
0.9962223,7,7,7,0
0.9962223,7,7,7,0
1.004469,7,7,7,0
1.004469,7,7,7,0
1.004469,7,7,7,0
1.004469,7,7,7,0
1.004469,7,7,7,0
1.004469,7,7,7,0
1.012958,7,7,7,0
1.012958,7,7,7,0
1.012958,7,7,7,0
1.012958,7,7,7,0
1.012958,7,7,7,0
1.012958,7,7,7,0
1.021302,7,7,7,0
1.021302,7,7,7,0
1.021302,7,7,7,0
1.021302,7,7,7,0
1.021302,7,7,7,0
1.021302,7,7,7,0
1.032607,7,7,7,0
1.032607,7,7,7,0
1.032607,7,7,7,0
1.032607,7,7,7,0
1.032607,7,7,7,0
1.032607,7,7,7,0
1.039255,7,7,7,0
1.039255,7,7,7,0
1.039255,7,7,7,0
1.039255,7,7,7,0
1.039255,7,7,7,0
1.039255,7,7,7,0
1.04553,7,7,7,0
1.04553,7,7,7,0
1.04553,7,7,7,0
1.04553,7,7,7,0
1.04553,7,7,7,0
1.04553,7,7,7,0
1.057214,7,7,7,0
1.057214,7,7,7,0
1.057214,7,7,7,0
1.057214,7,7,7,0
1.057214,7,7,7,0
1.057214,7,7,7,0
1.064024,7,7,7,0
1.064024,7,7,7,0
1.064024,7,7,7,0
1.064024,7,7,7,0
1.064024,7,7,7,0
1.064024,7,7,7,0
1.076391,7,7,7,0
1.076391,7,7,7,0
1.076391,7,7,7,0
1.076391,7,7,7,0
1.076391,7,7,7,0
1.076391,7,7,7,0
1.082116,7,7,7,0
1.082116,7,7,7,0
1.082116,7,7,7,0
1.082116,7,7,7,0
1.082116,7,7,7,0
1.082116,7,7,7,0
1.089294,7,7,7,0
1.089294,7,7,7,0
1.089294,7,7,7,0
1.089294,7,7,7,0
1.089294,7,7,7,0
1.089294,7,7,7,0
1.095195,7,7,7,0
1.095195,7,7,7,0
1.095195,7,7,7,0
1.095195,7,7,7,0
1.095195,7,7,7,0
1.095195,7,7,7,0
1.10658,7,7,7,0
1.10658,7,7,7,0
1.10658,7,7,7,0
1.10658,7,7,7,0
1.10658,7,7,7,0
1.10658,7,7,7,0
1.113035,7,7,7,0
1.113035,7,7,7,0
1.113035,7,7,7,0
1.113035,7,7,7,0
1.113035,7,7,7,0
1.113035,7,7,7,0
1.12072,7,7,7,0
1.12072,7,7,7,0
1.12072,7,7,7,0
1.12072,7,7,7,0
1.12072,7,7,7,0
1.12072,7,7,7,0
1.129787,7,7,7,0
1.129787,7,7,7,0
1.129787,7,7,7,0
1.129787,7,7,7,0
1.129787,7,7,7,0
1.129787,7,7,7,0
1.145443,7,7,7,0
1.145443,7,7,7,0
1.145443,7,7,7,0
1.145443,7,7,7,0
1.145443,7,7,7,0
1.145443,7,7,7,0
1.154783,7,7,7,0
1.154783,7,7,7,0
1.154783,7,7,7,0
1.154783,7,7,7,0
1.154783,7,7,7,0
1.154783,7,7,7,0
1.162453,7,7,7,0
1.162453,7,7,7,0
1.162453,7,7,7,0
1.162453,7,7,7,0
1.162453,7,7,7,0
1.162453,7,7,7,0
1.171749,7,7,7,0
1.171749,7,7,7,0
1.171749,7,7,7,0
1.171749,7,7,7,0
1.171749,7,7,7,0
1.171749,7,7,7,0
1.17854,7,7,7,0
1.17854,7,7,7,0
1.17854,7,7,7,0
1.17854,7,7,7,0
1.17854,7,7,7,0
1.17854,7,7,7,0
1.186846,7,7,7,0
1.186846,7,7,7,0
1.186846,7,7,7,0
1.186846,7,7,7,0
1.186846,7,7,7,0
1.186846,7,7,7,0
1.196385,7,7,7,0
1.196385,7,7,7,0
1.196385,7,7,7,0
1.196385,7,7,7,0
1.196385,7,7,7,0
1.196385,7,7,7,0
1.204026,7,7,7,0
1.204026,7,7,7,0
1.204026,7,7,7,0
1.204026,7,7,7,0
1.204026,7,7,7,0
1.204026,7,7,7,0
1.212904,7,7,7,0
1.212904,7,7,7,0
1.212904,7,7,7,0
1.212904,7,7,7,0
1.212904,7,7,7,0
1.212904,7,7,7,0
1.220922,7,7,7,0
1.220922,7,7,7,0
1.220922,7,7,7,0
1.220922,7,7,7,0
1.220922,7,7,7,0
1.220922,7,7,7,0
1.229477,7,7,7,0
1.229477,7,7,7,0
1.229477,7,7,7,0
1.229477,7,7,7,0
1.229477,7,7,7,0
1.229477,7,7,7,0
1.236944,7,7,7,0
1.236944,7,7,7,0
1.236944,7,7,7,0
1.236944,7,7,7,0
1.236944,7,7,7,0
1.236944,7,7,7,0
1.245291,7,7,7,0
1.245291,7,7,7,0
1.245291,7,7,7,0
1.245291,7,7,7,0
1.245291,7,7,7,0
1.245291,7,7,7,0
1.254532,7,7,7,0
1.254532,7,7,7,0
1.254532,7,7,7,0
1.254532,7,7,7,0
1.254532,7,7,7,0
1.254532,7,7,7,0
1.261811,7,7,7,0
1.261811,7,7,7,0
1.261811,7,7,7,0
1.261811,7,7,7,0
1.261811,7,7,7,0
1.261811,7,7,7,0
1.271128,7,7,7,0
1.271128,7,7,7,0
1.271128,7,7,7,0
1.271128,7,7,7,0
1.271128,7,7,7,0
1.271128,7,7,7,0
1.278374,7,7,7,0
1.278374,7,7,7,0
1.278374,7,7,7,0
1.278374,7,7,7,0
1.278374,7,7,7,0
1.278374,7,7,7,0
1.287876,7,7,7,0
1.287876,7,7,7,0
1.287876,7,7,7,0
1.287876,7,7,7,0
1.287876,7,7,7,0
1.287876,7,7,7,0
1.295281,7,7,7,0
1.295281,7,7,7,0
1.295281,7,7,7,0
1.295281,7,7,7,0
1.295281,7,7,7,0
1.295281,7,7,7,0
1.305272,7,7,7,0
1.305272,7,7,7,0
1.305272,7,7,7,0
1.305272,7,7,7,0
1.305272,7,7,7,0
1.305272,7,7,7,0
1.31401,7,7,7,0
1.31401,7,7,7,0
1.31401,7,7,7,0
1.31401,7,7,7,0
1.31401,7,7,7,0
1.31401,7,7,7,0
1.321031,7,7,7,0
1.321031,7,7,7,0
1.321031,7,7,7,0
1.321031,7,7,7,0
1.321031,7,7,7,0
1.321031,7,7,7,0
1.329555,7,7,7,0
1.329555,7,7,7,0
1.329555,7,7,7,0
1.329555,7,7,7,0
1.329555,7,7,7,0
1.329555,7,7,7,0
1.336935,7,7,7,0
1.336935,7,7,7,0
1.336935,7,7,7,0
1.336935,7,7,7,0
1.336935,7,7,7,0
1.336935,7,7,7,0
1.345253,7,7,7,0
1.345253,7,7,7,0
1.345253,7,7,7,0
1.345253,7,7,7,0
1.345253,7,7,7,0
1.345253,7,7,7,0
1.354677,7,7,7,0
1.354677,7,7,7,0
1.354677,7,7,7,0
1.354677,7,7,7,0
1.354677,7,7,7,0
1.354677,7,7,7,0
1.362105,7,7,7,0
1.362105,7,7,7,0
1.362105,7,7,7,0
1.362105,7,7,7,0
1.362105,7,7,7,0
1.362105,7,7,7,0
1.382615,7,7,7,0
1.382615,7,7,7,0
1.382615,7,7,7,0
1.382615,7,7,7,0
1.382615,7,7,7,0
1.382615,7,7,7,0
1.385688,7,7,7,0
1.385688,7,7,7,0
1.385688,7,7,7,0
1.385688,7,7,7,0
1.385688,7,7,7,0
1.385688,7,7,7,0
1.388978,7,7,7,0
1.388978,7,7,7,0
1.388978,7,7,7,0
1.388978,7,7,7,0
1.388978,7,7,7,0
1.388978,7,7,7,0
1.397374,7,7,7,0
1.397374,7,7,7,0
1.397374,7,7,7,0
1.397374,7,7,7,0
1.397374,7,7,7,0
1.397374,7,7,7,0
1.405856,7,7,7,0
1.405856,7,7,7,0
1.405856,7,7,7,0
1.405856,7,7,7,0
1.405856,7,7,7,0
1.405856,7,7,7,0
1.415027,7,7,7,0
1.415027,7,7,7,0
1.415027,7,7,7,0
1.415027,7,7,7,0
1.415027,7,7,7,0
1.415027,7,7,7,0
1.421706,7,7,7,0
1.421706,7,7,7,0
1.421706,7,7,7,0
1.421706,7,7,7,0
1.421706,7,7,7,0
1.421706,7,7,7,0
1.431606,7,7,7,0
1.431606,7,7,7,0
1.431606,7,7,7,0
1.431606,7,7,7,0
1.431606,7,7,7,0
1.431606,7,7,7,0
1.439204,7,7,7,0
1.439204,7,7,7,0
1.439204,7,7,7,0
1.439204,7,7,7,0
1.439204,7,7,7,0
1.439204,7,7,7,0
1.448145,7,7,7,0
1.448145,7,7,7,0
1.448145,7,7,7,0
1.448145,7,7,7,0
1.448145,7,7,7,0
1.448145,7,7,7,0
1.455549,7,7,7,0
1.455549,7,7,7,0
1.455549,7,7,7,0
1.455549,7,7,7,0
1.455549,7,7,7,0
1.455549,7,7,7,0
1.463656,7,7,7,0
1.463656,7,7,7,0
1.463656,7,7,7,0
1.463656,7,7,7,0
1.463656,7,7,7,0
1.463656,7,7,7,0
1.473191,7,7,7,0
1.473191,7,7,7,0
1.473191,7,7,7,0
1.473191,7,7,7,0
1.473191,7,7,7,0
1.473191,7,7,7,0
1.480439,7,7,7,0
1.480439,7,7,7,0
1.480439,7,7,7,0
1.480439,7,7,7,0
1.480439,7,7,7,0
1.480439,7,7,7,0
1.489354,7,7,7,0
1.489354,7,7,7,0
1.489354,7,7,7,0
1.489354,7,7,7,0
1.489354,7,7,7,0
1.489354,7,7,7,0
1.496938,7,7,7,0
1.496938,7,7,7,0
1.496938,7,7,7,0
1.496938,7,7,7,0
1.496938,7,7,7,0
1.496938,7,7,7,0
1.505601,7,7,7,0
1.505601,7,7,7,0
1.505601,7,7,7,0
1.505601,7,7,7,0
1.505601,7,7,7,0
1.505601,7,7,7,0
