time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
13.12242,1,1.5,-2.463403,0.4840702,-2.31888,-0.1084127
16.96035,2,1.5,1.402244,-0.02450714,1.574021,-0.05909656
20.60244,3,1.5,1.104171,-1.02475,0.8572199,-1.407898
24.40974,4,1.5,1.858847,-0.9128607,1.736345,-0.9708992
28.47101,5,1.5,-0.2081485,-0.0496121,-0.2729369,-0.2031564
32.72969,6,1.5,2.376313,-0.9704446,2.207935,-0.8322898
41.36976,7,1.5,-1.57271,-0.9640166,-1.894809,-0.9604103
47.60746,8,1.5,-0.5915766,-1.6275,-0.1822359,-1.211395
52.33456,9,1.5,-1.236959,-1.635685,-1.106136,-1.251479
56.74496,10,1.5,-0.5720695,-0.4738527,-0.4167291,-0.3610505
61.51936,11,1.5,-0.2545869,-1.108878,-0.2930484,-0.6630535
65.30735,12,1.5,-0.4358741,-0.393185,-0.393762,-0.3224256
68.82747,13,1.5,0.9115071,0.5789903,0.4568748,0.3764488
72.64144,14,1.5,-0.9071886,-0.3328329,-1.074214,-0.1910332
77.08599,15,1.5,-0.2724987,-0.3239681,-0.09879539,-0.2008935
81.65076,16,1.5,-0.003971492,-1.038882,0.3883264,-0.8470818
85.75222,17,1.5,-0.2939788,-0.0797549,-0.2373478,-0.3362264
90.55013,18,1.5,0.06175107,-0.2362294,0.02053546,-0.01598298
95.00579,19,1.5,0.535081,-0.5904235,0.7326163,-0.8594728
98.96511,20,1.5,0.6127715,-0.9656897,1.223857,-1.17477
110.8066,21,1.5,-0.9428859,-0.6437151,-0.610172,-0.3073979
111.4738,22,1.5,-0.3849637,0.001149767,-0.4939873,0.2254712
115.1791,23,1.5,1.093914,-1.233303,0.9402017,-1.327848
118.9463,24,1.5,-1.059628,-0.7627623,-0.9563946,-0.6272808
124.1872,25,1.5,-0.0441919,-1.321049,-0.01510395,-1.312405
128.9103,26,1.5,-0.4429749,-0.9519642,-0.3867324,-0.8299692
133.067,27,1.5,-2.521439,-0.9586394,-2.325853,-0.9720236
138.5033,28,1.5,-0.3719439,-1.046963,-0.008464267,-1.294679
142.6936,29,1.5,1.597472,-0.106774,1.686212,0.201105
147.0542,30,1.5,0.7073847,0.2587154,0.5560342,0.02116668
150.966,31,1.5,1.183459,0.2185026,1.34068,0.1959406
155.5598,32,1.5,-1.805059,-1.285426,-1.481195,-1.263366
160.549,33,1.5,0.4951139,-0.8756306,0.5864947,-0.9539604
165.8484,34,1.5,-0.2000535,-0.5387583,-0.0
