Time,LorR,Question,Character,Answer_State,Answer_Time
8.924297,right,4,R,correct,1.035149
14.09021,right,6,R,correct,0.8699684
17.38937,left,5,L,correct,1.052017
23.38225,left,3,L,correct,0.9811554
28.89048,left,1,L,correct,0.8908234
34.21957,right,2,R,correct,0.7441254
39.78699,right,5,R,correct,0.5676956
44.2262,right,3,R,correct,0.9519272
47.78275,right,1,R,correct,1.294456
53.37283,left,2,L,correct,0.8022003
57.97182,left,6,L,correct,0.7698212
63.66897,left,4,L,correct,0.799408
69.48174,left,3,L,correct,1.029587
73.62411,left,5,L,correct,0.6830521
77.37035,right,2,R,correct,1.4151
82.36817,right,4,R,correct,0.6261444
86.26914,right,1,R,correct,0.735321
90.30816,right,6,R,correct,0.7721252
93.75196,left,2,L,correct,0.8070679
97.30251,left,1,L,correct,0.8403015
100.822,left,5,L,correct,0.9744415
106.1604,left,4,L,correct,0.9172363
111.0926,right,3,R,correct,1.148865
114.9501,right,6,R,correct,1.499374
119.4404,right,4,R,correct,1.495148
124.4695,right,1,R,correct,1.181381
130.1731
