time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
19.61148,1,1.35,-1.312124,-1.020794,-0.9971095,-0.4995169
23.84197,2,1.35,0.552388,-1.101143,0.6934859,-0.9421379
28.71333,3,1.35,0.857479,0.06047851,0.8761987,0.3926387
32.7364,4,1.35,-1.849591,-0.7691422,-1.816981,-0.6446264
37.94434,5,1.35,-0.5665537,-0.3079453,-0.3685911,0.1129385
42.35356,6,1.35,0.3554999,-0.9432861,0.2841667,-1.488263
50.24432,7,1.35,-1.452604,-1.279519,-1.665599,-1.46327
55.23418,8,1.35,0.7095838,0.1953346,0.8521768,0.5099842
58.95246,9,1.35,1.416231,-0.675941,1.644145,-0.09606914
63.6974,10,1.35,-2.351454,-0.5063677,-2.154683,-0.2916464
67.71378,11,1.35,-1.01158,-0.1900187,-1.046484,0.1931079
72.17838,12,1.35,0.8331037,0.4915751,0.8038309,0.5986063
75.94468,13,1.35,-0.7278135,-0.1817204,-0.8559118,0.07632335
80.15568,14,1.35,2.031517,-0.951306,2.256938,-0.8197745
83.97176,15,1.35,1.134866,0.039323,1.284718,0.2521623
88.10311,16,1.35,-0.947899,0.2832951,-1.069018,0.2162137
90.74079,17,1.3
