Time,LorR,Question,Character,Answer_State,Answer_Time
29.95879,left,2,R,character_mistake,0.6003647
30.21237,right,9999,xxx,irrelevant_answer,9999
34.01767,right,1,R,correct,0.6974106
37.56174,right,6,R,correct,0.6850357
40.93587,right,4,R,correct,0.5098343
41.45496,right,9999,xxx,irrelevant_answer,9999
41.59582,right,9999,xxx,irrelevant_answer,9999
44.09397,right,5,R,correct,0.6010818
48.99049,right,3,R,correct,0.6631241
52.97392,left,4,L,correct,0.6768799
57.74648,left,3,L,correct,0.5529099
62.08831,left,1,L,correct,1.122368
67.56132,left,2,L,correct,0.6264496
73.0788,left,6,L,correct,0.6353149
78.07273,left,5,L,correct,0.7230988
81.99482,right,5,R,correct,0.6052856
86.93922,left,3,L,correct,0.6035156
90.24691,right,4,R,correct,0.6138458
93.59327,right,6,R,correct,0.6080933
98.11452,right,1,R,correct,0.6090851
103.4384,right,2,R,correct,0.6114655
107.668,right,5,R,correct,0.6851501
113.2204,left,3,L,correct,0.6266632
117.6927,left,2,L,correct,0.7599335
123.006,left,4,L,correct,0.742
