time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
15.11008,1,1,-0.4691647,-1.665693,-0.4398025,-1.34074
20.95073,2,1,-0.5801635,-0.8933629,-0.5757505,-0.6428538
25.03674,3,1,-1.375344,-0.7391724,-1.282507,-0.6671261
30.28259,4,1,-0.9175276,-1.536251,-0.6177763,-1.274804
35.03795,5,1,-0.9141777,-1.563206,-0.6641266,-1.434836
42.20374,6,1,0.5825233,-1.226322,0.7302536,-1.181893
47.10101,7,1,0.2620519,-0.6481128,0.3749881,-0.4123302
51.48396,8,1,-0.1974813,-0.714084,0.1027145,-0.5433978
60.45303,9,1,1.136226,1.355647,0.9694456,1.111764
64.08532,10,1,0.2189804,0.1080409,0.1762904,0.1703039
68.72538,11,1,0.487127,-0.8880827,0.6618732,-0.9075448
73.20284,12,1,-0.1294128,-0.545243,-0.01460231,-0.2490081
80.42777,13,1,0.1591479,-1.347375,-0.07552582,-1.246193
84.45978,14,1,-2.391808,-1.251138,-1.94885,-1.024665
98.07058,15,1,-1.644856,0.2350782,-1.593838,0.4481657
103.2226,16,1,-0.594049,-0.5518568,-0.5682554,-0.5831127
106.9314,17,1,-1.023125,-0.825882,-0.8075899,-0.6912102
111.7301,18,1,-2.474328,-1.018241,-2.441192,-1.162043
116.9196,19,1,-1.970757,-1.039814,-1.847312,-0.8841147
124.7977,20,1,1.558937,1.240667,1.420804,1.065512
