time,ansTime1,ansTime2,ansTime3,ansTimeAve
0.01787949,7,7,7,0
0.01787949,7,7,7,0
0.01787949,7,7,7,0
0.01787949,7,7,7,0
0.01787949,7,7,7,0
0.01787949,7,7,7,0
0.04727745,7,7,7,0
0.04727745,7,7,7,0
0.04727745,7,7,7,0
0.04727745,7,7,7,0
0.04727745,7,7,7,0
0.04727745,7,7,7,0
0.05510139,7,7,7,0
0.05510139,7,7,7,0
0.05510139,7,7,7,0
0.05510139,7,7,7,0
0.05510139,7,7,7,0
0.05510139,7,7,7,0
0.06056595,7,7,7,0
0.06056595,7,7,7,0
0.06056595,7,7,7,0
0.06056595,7,7,7,0
0.06056595,7,7,7,0
0.06056595,7,7,7,0
0.06502533,7,7,7,0
0.06502533,7,7,7,0
0.06502533,7,7,7,0
0.06502533,7,7,7,0
0.06502533,7,7,7,0
0.06502533,7,7,7,0
0.06900215,7,7,7,0
0.06900215,7,7,7,0
0.06900215,7,7,7,0
0.06900215,7,7,7,0
0.06900215,7,7,7,0
0.06900215,7,7,7,0
0.07365417,7,7,7,0
0.07365417,7,7,7,0
0.07365417,7,7,7,0
0.07365417,7,7,7,0
0.07365417,7,7,7,0
0.07365417,7,7,7,0
0.07757187,7,7,7,0
0.07757187,7,7,7,0
0.07757187,7,7,7,0
0.07757187,7,7,7,0
0.07757187,7,7,7,0
0.07757187,7,7,7,0
0.0826416,7,7,7,0
0.0826416,7,7,7,0
0.0826416,7,7,7,0
0.0826416,7,7,7,0
0.0826416,7,7,7,0
0.0826416,7,7,7,0
0.08746529,7,7,7,0
0.08746529,7,7,7,0
0.08746529,7,7,7,0
0.08746529,7,7,7,0
0.08746529,7,7,7,0
0.08746529,7,7,7,0
0.09188271,7,7,7,0
0.09188271,7,7,7,0
0.09188271,7,7,7,0
0.09188271,7,7,7,0
0.09188271,7,7,7,0
0.09188271,7,7,7,0
0.09597397,7,7,7,0
0.09597397,7,7,7,0
0.09597397,7,7,7,0
0.09597397,7,7,7,0
0.09597397,7,7,7,0
0.09597397,7,7,7,0
0.1018333,7,7,7,0
0.1018333,7,7,7,0
0.1018333,7,7,7,0
0.1018333,7,7,7,0
0.1018333,7,7,7,0
0.1018333,7,7,7,0
0.1065617,7,7,7,0
0.1065617,7,7,7,0
0.1065617,7,7,7,0
0.1065617,7,7,7,0
0.1065617,7,7,7,0
0.1065617,7,7,7,0
0.1100788,7,7,7,0
0.1100788,7,7,7,0
0.1100788,7,7,7,0
0.1100788,7,7,7,0
0.1100788,7,7,7,0
0.1100788,7,7,7,0
0.1176319,7,7,7,0
0.1176319,7,7,7,0
0.1176319,7,7,7,0
0.1176319,7,7,7,0
0.1176319,7,7,7,0
0.1176319,7,7,7,0
0.1224422,7,7,7,0
0.1224422,7,7,7,0
0.1224422,7,7,7,0
0.1224422,7,7,7,0
0.1224422,7,7,7,0
0.1224422,7,7,7,0
0.1261654,7,7,7,0
0.1261654,7,7,7,0
0.1261654,7,7,7,0
0.1261654,7,7,7,0
0.1261654,7,7,7,0
0.1261654,7,7,7,0
0.1323624,7,7,7,0
0.1323624,7,7,7,0
0.1323624,7,7,7,0
0.1323624,7,7,7,0
0.1323624,7,7,7,0
0.1323624,7,7,7,0
0.1373863,7,7,7,0
0.1373863,7,7,7,0
0.1373863,7,7,7,0
0.1373863,7,7,7,0
0.1373863,7,7,7,0
0.1373863,7,7,7,0
0.1416683,7,7,7,0
0.1416683,7,7,7,0
0.1416683,7,7,7,0
0.1416683,7,7,7,0
0.1416683,7,7,7,0
0.1416683,7,7,7,0
0.1486168,7,7,7,0
0.1486168,7,7,7,0
0.1486168,7,7,7,0
0.1486168,7,7,7,0
0.1486168,7,7,7,0
0.1486168,7,7,7,0
0.1525936,7,7,7,0
0.1525936,7,7,7,0
0.1525936,7,7,7,0
0.1525936,7,7,7,0
0.1525936,7,7,7,0
0.1525936,7,7,7,0
0.1583481,7,7,7,0
0.1583481,7,7,7,0
0.1583481,7,7,7,0
0.1583481,7,7,7,0
0.1583481,7,7,7,0
0.1583481,7,7,7,0
0.1636219,7,7,7,0
0.1636219,7,7,7,0
0.1636219,7,7,7,0
0.1636219,7,7,7,0
0.1636219,7,7,7,0
0.1636219,7,7,7,0
0.1672421,7,7,7,0
0.1672421,7,7,7,0
0.1672421,7,7,7,0
0.1672421,7,7,7,0
0.1672421,7,7,7,0
0.1672421,7,7,7,0
0.170578,7,7,7,0
0.170578,7,7,7,0
0.170578,7,7,7,0
0.170578,7,7,7,0
0.170578,7,7,7,0
0.170578,7,7,7,0
0.1756802,7,7,7,0
0.1756802,7,7,7,0
0.1756802,7,7,7,0
0.1756802,7,7,7,0
0.1756802,7,7,7,0
0.1756802,7,7,7,0
0.1804104,7,7,7,0
0.1804104,7,7,7,0
0.1804104,7,7,7,0
0.1804104,7,7,7,0
0.1804104,7,7,7,0
0.1804104,7,7,7,0
0.184103,7,7,7,0
0.184103,7,7,7,0
0.184103,7,7,7,0
0.184103,7,7,7,0
0.184103,7,7,7,0
0.184103,7,7,7,0
0.1875687,7,7,7,0
0.1875687,7,7,7,0
0.1875687,7,7,7,0
0.1875687,7,7,7,0
0.1875687,7,7,7,0
0.1875687,7,7,7,0
0.1921997,7,7,7,0
0.1921997,7,7,7,0
0.1921997,7,7,7,0
0.1921997,7,7,7,0
0.1921997,7,7,7,0
0.1921997,7,7,7,0
0.1976223,7,7,7,0
0.1976223,7,7,7,0
0.1976223,7,7,7,0
0.1976223,7,7,7,0
0.1976223,7,7,7,0
0.1976223,7,7,7,0
0.201622,7,7,7,0
0.201622,7,7,7,0
0.201622,7,7,7,0
0.201622,7,7,7,0
0.201622,7,7,7,0
0.201622,7,7,7,0
0.2055054,7,7,7,0
0.2055054,7,7,7,0
0.2055054,7,7,7,0
0.2055054,7,7,7,0
0.2055054,7,7,7,0
0.2055054,7,7,7,0
0.2096596,7,7,7,0
0.2096596,7,7,7,0
0.2096596,7,7,7,0
0.2096596,7,7,7,0
0.2096596,7,7,7,0
0.2096596,7,7,7,0
0.2149696,7,7,7,0
0.2149696,7,7,7,0
0.2149696,7,7,7,0
0.2149696,7,7,7,0
0.2149696,7,7,7,0
0.2149696,7,7,7,0
0.2189388,7,7,7,0
0.2189388,7,7,7,0
0.2189388,7,7,7,0
0.2189388,7,7,7,0
0.2189388,7,7,7,0
0.2189388,7,7,7,0
0.2233562,7,7,7,0
0.2233562,7,7,7,0
0.2233562,7,7,7,0
0.2233562,7,7,7,0
0.2233562,7,7,7,0
0.2233562,7,7,7,0
0.2281704,7,7,7,0
0.2281704,7,7,7,0
0.2281704,7,7,7,0
0.2281704,7,7,7,0
0.2281704,7,7,7,0
0.2281704,7,7,7,0
0.2325516,7,7,7,0
0.2325516,7,7,7,0
0.2325516,7,7,7,0
0.2325516,7,7,7,0
0.2325516,7,7,7,0
0.2325516,7,7,7,0
0.2364883,7,7,7,0
0.2364883,7,7,7,0
0.2364883,7,7,7,0
0.2364883,7,7,7,0
0.2364883,7,7,7,0
0.2364883,7,7,7,0
0.2409267,7,7,7,0
0.2409267,7,7,7,0
0.2409267,7,7,7,0
0.2409267,7,7,7,0
0.2409267,7,7,7,0
0.2409267,7,7,7,0
0.2452202,7,7,7,0
0.2452202,7,7,7,0
0.2452202,7,7,7,0
0.2452202,7,7,7,0
0.2452202,7,7,7,0
0.2452202,7,7,7,0
0.2494373,7,7,7,0
0.2494373,7,7,7,0
0.2494373,7,7,7,0
0.2494373,7,7,7,0
0.2494373,7,7,7,0
0.2494373,7,7,7,0
0.2533112,7,7,7,0
0.2533112,7,7,7,0
0.2533112,7,7,7,0
0.2533112,7,7,7,0
0.2533112,7,7,7,0
0.2533112,7,7,7,0
0.258028,7,7,7,0
0.258028,7,7,7,0
0.258028,7,7,7,0
0.258028,7,7,7,0
0.258028,7,7,7,0
0.258028,7,7,7,0
0.2613335,7,7,7,0
0.2613335,7,7,7,0
0.2613335,7,7,7,0
0.2613335,7,7,7,0
0.2613335,7,7,7,0
0.2613335,7,7,7,0
0.2659817,7,7,7,0
0.2659817,7,7,7,0
0.2659817,7,7,7,0
0.2659817,7,7,7,0
0.2659817,7,7,7,0
0.2659817,7,7,7,0
0.2698231,7,7,7,0
0.2698231,7,7,7,0
0.2698231,7,7,7,0
0.2698231,7,7,7,0
0.2698231,7,7,7,0
0.2698231,7,7,7,0
0.2825947,7,7,7,0
0.2825947,7,7,7,0
0.2825947,7,7,7,0
0.2825947,7,7,7,0
0.2825947,7,7,7,0
0.2825947,7,7,7,0
0.2877026,7,7,7,0
0.2877026,7,7,7,0
0.2877026,7,7,7,0
0.2877026,7,7,7,0
0.2877026,7,7,7,0
0.2877026,7,7,7,0
0.2911625,7,7,7,0
0.2911625,7,7,7,0
0.2911625,7,7,7,0
0.2911625,7,7,7,0
0.2911625,7,7,7,0
0.2911625,7,7,7,0
0.295042,7,7,7,0
0.295042,7,7,7,0
0.295042,7,7,7,0
0.295042,7,7,7,0
0.295042,7,7,7,0
0.295042,7,7,7,0
0.3017445,7,7,7,0
0.3017445,7,7,7,0
0.3017445,7,7,7,0
0.3017445,7,7,7,0
0.3017445,7,7,7,0
0.3017445,7,7,7,0
0.3061848,7,7,7,0
0.3061848,7,7,7,0
0.3061848,7,7,7,0
0.3061848,7,7,7,0
0.3061848,7,7,7,0
0.3061848,7,7,7,0
0.3095589,7,7,7,0
0.3095589,7,7,7,0
0.3095589,7,7,7,0
0.3095589,7,7,7,0
0.3095589,7,7,7,0
0.3095589,7,7,7,0
0.315464,7,7,7,0
0.315464,7,7,7,0
0.315464,7,7,7,0
0.315464,7,7,7,0
0.315464,7,7,7,0
0.315464,7,7,7,0
0.321867,7,7,7,0
0.321867,7,7,7,0
0.321867,7,7,7,0
0.321867,7,7,7,0
0.321867,7,7,7,0
0.321867,7,7,7,0
0.3259258,7,7,7,0
0.3259258,7,7,7,0
0.3259258,7,7,7,0
0.3259258,7,7,7,0
0.3259258,7,7,7,0
0.3259258,7,7,7,0
0.3300991,7,7,7,0
0.3300991,7,7,7,0
0.3300991,7,7,7,0
0.3300991,7,7,7,0
0.3300991,7,7,7,0
0.3300991,7,7,7,0
0.3353767,7,7,7,0
0.3353767,7,7,7,0
0.3353767,7,7,7,0
0.3353767,7,7,7,0
0.3353767,7,7,7,0
0.3353767,7,7,7,0
0.3394794,7,7,7,0
0.3394794,7,7,7,0
0.3394794,7,7,7,0
0.3394794,7,7,7,0
0.3394794,7,7,7,0
0.3394794,7,7,7,0
0.3430843,7,7,7,0
0.3430843,7,7,7,0
0.3430843,7,7,7,0
0.3430843,7,7,7,0
0.3430843,7,7,7,0
0.3430843,7,7,7,0
0.3492966,7,7,7,0
0.3492966,7,7,7,0
0.3492966,7,7,7,0
0.3492966,7,7,7,0
0.3492966,7,7,7,0
0.3492966,7,7,7,0
0.35462,7,7,7,0
0.35462,7,7,7,0
0.35462,7,7,7,0
0.35462,7,7,7,0
0.35462,7,7,7,0
0.35462,7,7,7,0
0.3581848,7,7,7,0
0.3581848,7,7,7,0
0.3581848,7,7,7,0
0.3581848,7,7,7,0
0.3581848,7,7,7,0
0.3581848,7,7,7,0
0.3620186,7,7,7,0
0.3620186,7,7,7,0
0.3620186,7,7,7,0
0.3620186,7,7,7,0
0.3620186,7,7,7,0
0.3620186,7,7,7,0
0.3691845,7,7,7,0
0.3691845,7,7,7,0
0.3691845,7,7,7,0
0.3691845,7,7,7,0
0.3691845,7,7,7,0
0.3691845,7,7,7,0
0.3728523,7,7,7,0
0.3728523,7,7,7,0
0.3728523,7,7,7,0
0.3728523,7,7,7,0
0.3728523,7,7,7,0
0.3728523,7,7,7,0
0.3772373,7,7,7,0
0.3772373,7,7,7,0
0.3772373,7,7,7,0
0.3772373,7,7,7,0
0.3772373,7,7,7,0
0.3772373,7,7,7,0
0.3855743,7,7,7,0
0.3855743,7,7,7,0
0.3855743,7,7,7,0
0.3855743,7,7,7,0
0.3855743,7,7,7,0
0.3855743,7,7,7,0
0.3894234,7,7,7,0
0.3894234,7,7,7,0
0.3894234,7,7,7,0
0.3894234,7,7,7,0
0.3894234,7,7,7,0
0.3894234,7,7,7,0
0.3925972,7,7,7,0
0.3925972,7,7,7,0
0.3925972,7,7,7,0
0.3925972,7,7,7,0
0.3925972,7,7,7,0
0.3925972,7,7,7,0
0.4005127,7,7,7,0
0.4005127,7,7,7,0
0.4005127,7,7,7,0
0.4005127,7,7,7,0
0.4005127,7,7,7,0
0.4005127,7,7,7,0
0.4048386,7,7,7,0
0.4048386,7,7,7,0
0.4048386,7,7,7,0
0.4048386,7,7,7,0
0.4048386,7,7,7,0
0.4048386,7,7,7,0
0.4081554,7,7,7,0
0.4081554,7,7,7,0
0.4081554,7,7,7,0
0.4081554,7,7,7,0
0.4081554,7,7,7,0
