time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
12.6598,1,1.5,0.05151358,-0.5607775,0.2495148,-0.5041674
17.47305,2,1.5,-0.06912006,-0.1067505,-0.04019486,-0.07481208
22.31513,3,1.5,-1.005268,-0.8732316,-0.6239512,-0.3874564
27.17777,4,1.5,-0.31241,-0.4272675,-0.1633887,-0.03145093
32.38586,5,1.5,-1.988923,-1.45076,-1.923309,-1.361752
37.76775,6,1.5,-0.3888089,-1.414754,-0.127904,-1.293959
42.6608,7,1.5,0.8247013,-1.358975,0.7707136,-1.475648
47.34538,8,1.5,-0.4094943,-1.242087,-0.1394109,-1.151908
52.21243,9,1.5,-0.2053088,-0.5204766,0.04800661,-0.2686669
56.88416,10,1.5,0.2297288,-1.535388,0.4748992,-1.265078
61.85103,11,1.5,-1.159486,-1.101083,-0.641416,-0.7966862
66.26899,12,1.5,-2.672638,-0.9036314,-2.480323,-0.6187946
70.70738,13,1.5,1.694442,-0.5674876,2.155209,-0.4236383
75.30206,14,1.5,1.182882,-1.046086,1.234805,-0.7475505
80.38208,15,1.5,1.088692,-1.015533,1.137868,-0.6876862
86.49455,16,1.5,-1.480518,0.8842888,-1.334547,1.112699
91.30681,17,1.5,0.
