time,ansTime1,ansTime2,ansTime3,ansTimeAve
1.493953,7,7,7,0
1.493953,7,7,7,0
1.493953,7,7,7,0
1.493953,7,7,7,0
1.493953,7,7,7,0
1.493953,7,7,7,0
2.108128,7,7,7,0
2.108128,7,7,7,0
2.108128,7,7,7,0
2.108128,7,7,7,0
2.108128,7,7,7,0
2.108128,7,7,7,0
2.136342,7,7,7,0
2.136342,7,7,7,0
2.136342,7,7,7,0
2.136342,7,7,7,0
2.136342,7,7,7,0
2.136342,7,7,7,0
2.149124,7,7,7,0
2.149124,7,7,7,0
2.149124,7,7,7,0
2.149124,7,7,7,0
2.149124,7,7,7,0
2.149124,7,7,7,0
2.162873,7,7,7,0
2.162873,7,7,7,0
2.162873,7,7,7,0
2.162873,7,7,7,0
2.162873,7,7,7,0
2.162873,7,7,7,0
2.165118,7,7,7,0
2.165118,7,7,7,0
2.165118,7,7,7,0
2.165118,7,7,7,0
2.165118,7,7,7,0
2.165118,7,7,7,0
2.167213,7,7,7,0
2.167213,7,7,7,0
2.167213,7,7,7,0
2.167213,7,7,7,0
2.167213,7,7,7,0
2.167213,7,7,7,0
2.177768,7,7,7,0
2.177768,7,7,7,0
2.177768,7,7,7,0
2.177768,7,7,7,0
2.177768,7,7,7,0
2.177768,7,7,7,0
2.17965,7,7,7,0
2.17965,7,7,7,0
2.17965,7,7,7,0
2.17965,7,7,7,0
2.17965,7,7,7,0
2.17965,7,7,7,0
2.19199,7,7,7,0
2.19199,7,7,7,0
2.19199,7,7,7,0
2.19199,7,7,7,0
2.19199,7,7,7,0
2.19199,7,7,7,0
2.219079,7,7,7,0
2.219079,7,7,7,0
2.219079,7,7,7,0
2.219079,7,7,7,0
2.219079,7,7,7,0
2.219079,7,7,7,0
2.221574,7,7,7,0
2.221574,7,7,7,0
2.221574,7,7,7,0
2.221574,7,7,7,0
2.221574,7,7,7,0
2.221574,7,7,7,0
2.227561,7,7,7,0
2.227561,7,7,7,0
2.227561,7,7,7,0
2.227561,7,7,7,0
2.227561,7,7,7,0
2.227561,7,7,7,0
2.241969,7,7,7,0
2.241969,7,7,7,0
2.241969,7,7,7,0
2.241969,7,7,7,0
2.241969,7,7,7,0
2.241969,7,7,7,0
2.251375,7,7,7,0
2.251375,7,7,7,0
2.251375,7,7,7,0
2.251375,7,7,7,0
2.251375,7,7,7,0
2.251375,7,7,7,0
2.26077,7,7,7,0
2.26077,7,7,7,0
2.26077,7,7,7,0
2.26077,7,7,7,0
2.26077,7,7,7,0
2.26077,7,7,7,0
2.273848,7,7,7,0
2.273848,7,7,7,0
2.273848,7,7,7,0
2.273848,7,7,7,0
2.273848,7,7,7,0
2.273848,7,7,7,0
2.281759,7,7,7,0
2.281759,7,7,7,0
2.281759,7,7,7,0
2.281759,7,7,7,0
2.281759,7,7,7,0
2.281759,7,7,7,0
2.295216,7,7,7,0
2.295216,7,7,7,0
2.295216,7,7,7,0
2.295216,7,7,7,0
2.295216,7,7,7,0
2.295216,7,7,7,0
2.308973,7,7,7,0
2.308973,7,7,7,0
2.308973,7,7,7,0
