time,is_recent,pos_x,pos_y,filtered_pos_x,filtered_pos_y
0.02019978,1,849.213,577.2676,424.6065,288.6338
0.06218052,1,849.7966,578.6144,637.2015,433.6241
0.0675087,1,849.7966,578.6144,743.4991,506.1193
0.070858,1,849.7966,578.6144,796.6478,542.3669
0.0744791,1,849.7966,578.6144,823.2222,560.4907
0.07862759,1,849.7966,578.6144,836.5094,569.5526
0.08246899,1,849.7966,578.6144,843.153,574.0835
0.08554554,1,849.7966,578.6144,846.4749,576.349
0.08919811,1,849.7966,578.6144,848.1357,577.4817
0.09327412,1,850.1158,579.5664,849.1257,578.524
0.09782887,1,850.1158,579.5664,849.6207,579.0452
0.1017141,1,850.1158,579.5664,849.8683,579.3058
0.1060877,1,850.1158,579.5664,849.9921,579.4361
0.1101732,1,850.1158,579.5664,850.054,579.5012
0.1145382,1,850.1158,579.5664,850.0848,579.5338
0.117692,1,850.1158,579.5664,850.1003,579.5501
0.1219854,1,850.1158,579.5664,850.108,579.5582
0.1265287,1,850.2902,580.227,850.1991,579.8926
0.1307487,1,850.2902,580.227,850.2446,580.0598
0.1338139,1,850.2902,580.227,850.2674,580.1434
0.1371536,1,850.2902,580.227,850.2788,580.1852
0.1414833,1,850.2902,580.227,850.2845,580.2061
0.1467876,1,850.2902,580.227,850.2874,580.2166
0.1497545,1,850.2902,580.227,850.2888,580.2218
0.1534958,1,850.6798,580.8223,850.4843,580.522
0.1569595,1,850.6798,580.8223,850.582,580.6721
0.1617622,1,850.6798,580.8223,850.6309,580.7472
0.1675682,1,850.6798,580.8223,850.6554,580.7847
0.1721811,1,850.6798,580.8223,850.6676,580.8035
0.1754456,1,850.6798,580.8223,850.6737,580.8129
0.1806564,1,850.6798,580.8223,850.6768,580.8176
0.1853247,1,850.8241,580.9162,850.7504,580.8669
0.1887007,1,850.8241,580.9162,850.7872,580.8915
0.1921158,1,850.8241,580.9162,850.8057,580.9039
0.1968422,1,850.8241,580.9162,850.8149,580.91
0.2012892,1,850.8241,580.9162,850.8195,580.9131
0.2043839,1,850.8241,580.9162,850.8218,580.9147
0.2071533,1,850.8241,580.9162,850.8229,580.9154
0.2107067,1,850.8241,580.9162,850.8235,580.9158
0.2158775,1,850.9848,580.9437,850.9042,580.9297
0.219739,1,850.9848,580.9437,850.9445,580.9366
0.2237616,1,850.9848,580.9437,850.9646,580.9402
0.2273788,1,850.9848,580.9437,850.9747,580.9419
0.2321577,1,850.9848,580.9437,850.9797,580.9427
0.2352247,1,850.9848,580.9437,850.9823,580.9432
0.2396698,1,850.9848,580.9437,850.9835,580.9435
0.2459326,1,851.0374,581.5754,851.0104,581.2595
0.2494707,1,851.0374,581.5754,851.0239,581.4175
0.2526369,1,851.0374,581.5754,851.0306,581.4965
0.255806,1,851.0374,581.5754,851.034,581.5359
0.2606535,1,851.0374,581.5754,851.0356,581.5557
0.2647972,1,851.0374,581.5754,851.0365,581.5656
0.2680244,1,851.0374,581.5754,851.0369,581.5705
0.2711706,1,851.0374,581.5754,851.0371,581.573
0.2749357,1,850.9869,582.0627,851.012,581.8179
0.2807522,1,850.9869,582.0627,850.9995,581.9403
0.2856865,1,850.9869,582.0627,850.9932,582.0015
0.2893486,1,850.9869,582.0627,850.9901,582.0321
0.2952089,1,850.9869,582.0627,850.9885,582.0474
0.3005486,1,850.9869,582.0627,850.9877,582.0551
0.3042479,1,850.9274,582.6428,850.9576,582.3489
0.3088207,1,850.9274,582.6428,850.9425,582.4958
0.3145714,1,850.9274,582.6428,850.9349,582.5693
0.3181391,1,850.9274,582.6428,850.9312,582.6061
0.3224707,1,850.9274,582.6428,850.9293,582.6245
0.326952,1,850.9274,582.6428,850.9283,582.6337
0.3312559,1,850.9274,582.6428,850.9279,582.6382
0.3348207,1,850.9269,582.5129,850.9274,582.5756
0.3406963,1,850.9269,582.5129,850.9271,582.5442
0.3468256,1,850.9269,582.5129,850.927,582.5286
0.3513269,1,850.9269,582.5129,850.9269,582.5208
0.3558273,1,850.9269,582.5129,850.9269,582.5168
0.3607779,1,850.9269,582.5129,850.9269,582.5149
0.3661032,1,850.889,581.3892,850.908,581.952
0.3716536,1,850.889,581.3892,850.8985,581.6706
0.3757763,1,850.889,581.3892,850.8938,581.5299
0.3817196,1,850.889,581.3892,850.8914,581.4595
0.3858471,1,850.889,581.3892,850.8903,581.4243
0.3892288,1,850.889,581.3892,850.8896,581.4067
0.3936367,1,850.3502,577.6851,850.6199,579.5459
0.3997974,1,850.3502,577.6851,850.485,578.6155
0.4041176,1,850.3502,577.6851,850.4176,578.1503
0.4071951,1,850.3502,577.6851,850.3839,577.9177
0.4113541,1,850.3502,577.6851,850.3671,577.8014
0.4156637,1,850.3502,577.6851,850.3586,577.7433
0.4200706,1,850.3502,577.6851,850.3544,577.7142
