time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
12.24601,1,1,-0.0319427,0.4976901,0.07057274,0.2876896
15.88932,2,1,2.325533,-0.99054,2.410103,-0.8332996
22.04827,3,1,-2.411122,-1.801436,-2.41572,-1.387711
27.05283,4,1,-1.670195,-1.130835,-1.758314,-0.9825742
36.54584,5,1,0.9366385,1.387313,1.152939,1.359091
41.07777,6,1,-2.213461,-1.58281,-2.100969,-1.483379
52.06081,7,1,1.61056,-0.2701433,1.233685,0.007251791
56.88132,8,1,0.09168859,-0.3199113,0.03917686,-0.091015
61.63089,9,1,-0.4340367,-1.483532,-0.5206218,-1.220259
67.26243,10,1,-1.909077,-0.687253,-1.843403,-0.9267527
79.85563,11,1,0.04467968,0.3289374,0.2706999,0.3087044
83.77583,12,1,-0.3487402,-0.6369147,-0.2468982,-0.5700095
87.86828,13,1,0.4655001,-1.523224,0.4031836,-1.356018
96.95573,14,1,2.494226,-0.8613587,2.287463,-0.688776
107.9443,15,1,-1.016512,-0.9410858,-1.237776,-1.124154
126.2817,16,1,1.123489,-0.9793577,1.362124,-0.7231293
132.2456,17,1,-1.093435,-1.35806,-1.113699,-1.457829
146.5259,18,1,-0.3874183,-1.721092,-0.6269484,-1.480282
160.5707,19,1,-1.131314,1.111179,-1.220175,0.9305691
164.8379,20,1,0.9645719,-1.031697,0.9388875,-0.7844841
173.8242,21,1,-0.2500335,0.6779898,-0.2375434,0.9852408
182.7284,22,1,-0.3731762,1.250636,-0.4344649,1.103191
211.0243,23,1,-1.491588,0.1468283,-1.480076,0.2948993
